train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
40,-17.997713088989258,97.74819946289062,0.9919493794441223,0.0003,-0.2137412130832672,4,197,163.70998350000002,0,35.25,141
134,-27.60018539428711,27.614517211914062,0.9610211849212646,0.0003,-1.1094028949737549,8,92,136.075059125,2,29.375,235
230,-32.07225036621094,37.495018005371094,0.9322015047073364,0.0003,-1.967299461364746,12,78,127.63914974999999,4,27.583333333333332,331
325,-33.79765319824219,80.48822784423828,0.9050593972206116,0.0003,-2.7778735160827637,16,70,123.264237,6,26.625,426
402,-38.385986328125,163.8477020263672,0.8839403986930847,0.0003,-3.459228277206421,20,66,116.25056375000001,7,25.15,503
495,-43.035125732421875,76.10427856445312,0.8594495058059692,0.0003,-4.112585067749023,24,63,114.74197974999998,9,24.833333333333332,596
564,-46.30301284790039,91.72062683105469,0.8421099781990051,0.0003,-4.530419826507568,28,61,109.46254957142855,10,23.75,665
633,-49.723262786865234,61.069705963134766,0.8254435658454895,0.0003,-4.986690998077393,32,60,105.53456190624999,12,22.9375,734
698,-54.12334442138672,60.522003173828125,0.8103440403938293,0.0003,-5.280689716339111,36,59,101.86551888888887,13,22.194444444444443,799
763,-56.489707946777344,43.355674743652344,0.7957534790039062,0.0003,-5.649069309234619,40,58,98.7293217,14,21.6,864
829,-59.82386016845703,47.82137680053711,0.7811734080314636,0.0003,-6.09486198425293,44,58,96.4929964318182,15,21.136363636363637,930
894,-62.09677505493164,40.348716735839844,0.7669556736946106,0.0003,-6.653026580810547,48,57,94.58605354166667,17,20.729166666666668,995
975,-66.53524780273438,98.39480590820312,0.7491830587387085,0.0003,-7.460046768188477,52,57,94.34032534615386,18,20.692307692307693,1076
1044,-66.86622619628906,34.504249572753906,0.7339240908622742,0.0003,-8.190481185913086,56,57,93.2499851607143,19,20.446428571428573,1145
1115,-66.05007934570312,33.30598831176758,0.7183650135993958,0.0003,-8.773270606994629,60,56,92.49626803333334,21,20.266666666666666,1216
1186,-67.12515258789062,32.23801803588867,0.7030590176582336,0.0003,-9.440193176269531,64,56,91.83209625,22,20.109375,1287
1253,-70.45683288574219,40.83153533935547,0.6889690160751343,0.0003,-9.841177940368652,68,56,90.93430067647058,24,19.91176470588235,1354
1321,-73.09530639648438,45.17558670043945,0.6750530004501343,0.0003,-10.387906074523926,72,56,90.19590740277778,25,19.75,1422
1388,-73.7444076538086,44.74565124511719,0.6615692973136902,0.0003,-10.96263313293457,76,55,89.39937740789473,26,19.592105263157894,1489
1456,-76.00288391113281,61.65669631958008,0.6481714248657227,0.0003,-11.321260452270508,80,55,88.756765825,27,19.4625,1557
1520,-74.3827896118164,58.12413787841797,0.6358903050422668,0.0003,-11.903585433959961,84,55,87.95436464285714,29,19.297619047619047,1621
1588,-77.82334899902344,41.15691375732422,0.6231604814529419,0.0003,-12.318402290344238,88,55,87.43285078409092,30,19.193181818181817,1689
1655,-78.60530853271484,49.033660888671875,0.6108869910240173,0.0003,-12.780473709106445,92,55,86.88617785869566,31,19.08695652173913,1756
1745,-79.04299926757812,40.34062957763672,0.5948554277420044,0.0003,-13.216202735900879,96,55,87.44636578125001,33,19.229166666666668,1846
1829,-79.79315948486328,49.9433479309082,0.5802990794181824,0.0003,-14.034506797790527,100,56,87.78164612000002,34,19.3,1930
1903,-82.67892456054688,44.95158767700195,0.5677599310874939,0.0003,-14.670583724975586,104,57,84.67309724,34,18.63,2004
2070,-83.31236267089844,63.32279586791992,0.5404385328292847,0.0003,-15.485315322875977,108,57,88.10996698999999,37,19.36,2171
2198,-82.12323760986328,68.359375,0.5204141736030579,0.0003,-16.683706283569336,112,58,89.22984400999998,39,19.68,2299
2338,-85.23176574707031,46.03666305541992,0.49944642186164856,0.0003,-17.662479400634766,116,59,91.01673910999997,41,20.13,2439
2541,-89.65782165527344,54.75726318359375,0.47053056955337524,0.0003,-19.11452293395996,120,59,96.84666726000002,44,21.39,2642
2685,-90.63343048095703,65.69718170166016,0.4512288272380829,0.0003,-19.68523406982422,124,59,99.12890771000001,46,21.9,2786
2868,-92.47038269042969,125.44747924804688,0.4279126226902008,0.0003,-21.554447174072266,128,58,104.83724349,50,23.04,2969
3011,-92.50965118408203,49.15965270996094,0.4106936454772949,0.0003,-21.39877700805664,132,58,108.33837771999998,53,23.78,3112
3194,-93.954345703125,55.52616500854492,0.389614462852478,0.0003,-22.67037582397461,136,58,113.88642627000002,56,24.96,3295
