train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
5,-11.563450813293457,109.4846420288086,0.998797595500946,0.0003,-0.030506407842040062,4,938,117.72833474999999,0,26.5,106
135,-31.992048263549805,26.93644905090332,0.9598045349121094,0.0003,-1.160396695137024,8,108,135.745979125,2,29.5,236
224,-35.91841125488281,48.93509292602539,0.9342896342277527,0.0003,-1.919389247894287,12,88,125.21163508333335,3,27.083333333333332,325
303,-39.97032928466797,28.120685577392578,0.9123775362968445,0.0003,-2.5638937950134277,16,77,116.44196375000001,5,25.25,404
397,-43.74616241455078,29.772581100463867,0.8873488306999207,0.0003,-3.2187294960021973,20,70,114.27091220000003,7,24.9,498
497,-50.36876678466797,13.886213302612305,0.8621766567230225,0.0003,-3.899503231048584,24,66,114.10942041666665,8,24.916666666666668,598
590,-54.25682067871094,9.998294830322266,0.8394827246665955,0.0003,-4.619399547576904,28,64,113.11720524999998,10,24.678571428571427,691
675,-57.976409912109375,8.437265396118164,0.8188880085945129,0.0003,-5.4162187576293945,32,62,111.42501965625,12,24.25,776
794,-63.126949310302734,15.57834243774414,0.7902770042419434,0.0003,-6.403909206390381,36,60,114.86427808333335,14,24.86111111111111,895
916,-68.61859130859375,11.399300575256348,0.7619028091430664,0.0003,-7.3720245361328125,40,59,117.711211925,17,25.425,1017
1032,-73.52875518798828,16.307600021362305,0.7361279129981995,0.0003,-8.131300926208496,44,59,119.28518497727272,19,25.75,1133
1134,-76.91085052490234,17.982341766357422,0.7144896984100342,0.0003,-8.701157569885254,48,59,119.08940877083334,20,25.729166666666668,1235
1228,-79.74517822265625,29.738967895507812,0.6952934861183167,0.0003,-9.451845169067383,52,58,117.94348690384616,22,25.557692307692307,1329
1307,-82.00364685058594,18.22928237915039,0.679714024066925,0.0003,-9.929868698120117,56,58,115.84604739285714,23,25.142857142857142,1408
1395,-81.97674560546875,25.678974151611328,0.6628293991088867,0.0003,-10.530481338500977,60,58,114.86589868333334,25,24.933333333333334,1496
1500,-87.39472961425781,26.804262161254883,0.6432688236236572,0.0003,-11.045886039733887,64,57,115.31073639062501,27,25.015625,1601
1663,-92.43050384521484,36.73756790161133,0.6142464280128479,0.0003,-12.059967041015625,68,57,120.2371434117647,30,25.941176470588236,1764
1903,-94.7880859375,32.46236038208008,0.5747072100639343,0.0003,-12.879241943359375,72,58,129.81238197222223,34,27.833333333333332,2004
2133,-106.64591217041016,42.796653747558594,0.5395442247390747,0.0003,-14.091056823730469,76,57,137.8377668026316,38,29.394736842105264,2234
2363,-106.85067749023438,80.97374725341797,0.5062465667724609,0.0003,-15.266037940979004,80,57,144.24728097500002,42,30.8,2464
2597,-117.46868896484375,38.61766052246094,0.4750416874885559,0.0003,-15.752447128295898,84,58,150.8745955357143,46,32.11904761904762,2698
2836,-124.1624755859375,50.55042266845703,0.4456654191017151,0.0003,-16.886734008789062,88,58,157.67107213636362,50,33.375,2937
