train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
7,11.915316581726074,377.15484619140625,0.9998348951339722,0.0003,-0.002477893838658929,4,132,123.79691775,0,27.0,108
120,-26.722713470458984,17.538070678710938,0.9633605480194092,0.0003,-1.0417430400848389,8,77,128.460182875,2,27.625,221
230,-31.58684539794922,18.452991485595703,0.9304401278495789,0.0003,-2.0272293090820312,12,67,129.99386316666667,4,27.583333333333332,331
323,-34.794273376464844,9.943376541137695,0.9040242433547974,0.0003,-2.833634376525879,16,63,125.2378030625,6,26.5,424
441,-39.81835174560547,9.16102123260498,0.8718731999397278,0.0003,-3.8432912826538086,20,60,128.13885115,8,27.1,542
545,-44.3167610168457,6.286001205444336,0.8447591066360474,0.0003,-4.7186431884765625,24,59,126.933228375,10,26.916666666666668,646
668,-49.552799224853516,14.032308578491211,0.8139450550079346,0.0003,-5.758115291595459,28,58,129.834433,13,27.464285714285715,769
798,-54.534332275390625,10.690899848937988,0.7826733589172363,0.0003,-6.798587799072266,32,57,132.73616028125002,15,28.09375,899
911,-59.02417755126953,7.808362007141113,0.7565369009971619,0.0003,-7.717160224914551,36,57,132.7333117777778,17,28.11111111111111,1012
1043,-64.891357421875,11.348945617675781,0.7272875308990479,0.0003,-8.814260482788086,40,56,134.65627345,20,28.6,1144
1144,-68.47420501708984,11.367704391479492,0.7058187127113342,0.0003,-9.498971939086914,44,56,133.2572237272727,21,28.295454545454547,1245
1276,-72.42167663574219,10.796772956848145,0.6789241433143616,0.0003,-10.499273300170898,48,56,135.55159389583332,24,28.6875,1377
1430,-80.10319519042969,13.24147891998291,0.648814857006073,0.0003,-11.73119831085205,52,56,139.4194592884615,27,29.442307692307693,1531
1538,-83.281982421875,25.692890167236328,0.62846440076828,0.0003,-12.465642929077148,56,56,138.4592114107143,29,29.267857142857142,1639
1710,-87.03053283691406,19.591880798339844,0.5975014567375183,0.0003,-13.5392484664917,60,55,142.94432301666666,32,30.183333333333334,1811
1972,-94.63368225097656,23.119075775146484,0.5534881353378296,0.0003,-15.635072708129883,64,55,154.53667303125,37,32.390625,2073
2192,-102.4422378540039,32.79643249511719,0.5189890265464783,0.0003,-17.20928192138672,68,55,161.10950438235292,41,33.720588235294116,2293
2426,-112.97773742675781,35.987648010253906,0.48497530817985535,0.0003,-18.51123809814453,72,55,168.17622731944442,45,35.09722222222222,2527
2665,-114.39468383789062,19.928531646728516,0.4527014493942261,0.0003,-19.940204620361328,76,55,174.98304407894736,49,36.39473684210526,2766
3067,-124.50152587890625,22.34746742248535,0.40374496579170227,0.0003,-21.730106353759766,80,55,190.3680008,57,39.6,3168
3303,-125.57548522949219,23.793731689453125,0.3778505325317383,0.0003,-23.250829696655273,84,55,194.83966117857145,61,40.523809523809526,3404
3580,-133.08865356445312,33.40424346923828,0.3494909405708313,0.0003,-24.41811180114746,88,55,201.0473018863636,66,41.82954545454545,3681
3904,-142.6426239013672,23.87323570251465,0.3195996880531311,0.0003,-24.554054260253906,92,55,209.52754926086953,72,43.53260869565217,4005
4139,-145.77230834960938,27.648447036743164,0.2996300160884857,0.0003,-26.195232391357422,96,55,212.96949077083332,76,44.166666666666664,4240
4477,-150.17808532714844,28.120071411132812,0.2729628086090088,0.0003,-27.972984313964844,100,55,221.10237827999998,83,45.78,4578
4757,-151.23651123046875,28.11931610107422,0.25255829095840454,0.0003,-28.937063217163086,104,55,229.85506313000002,88,47.5,4858
5001,-159.2847900390625,30.613323211669922,0.23603759706020355,0.0003,-29.939289093017578,108,55,236.85019730000005,92,48.81,5102
5234,-161.05491638183594,35.92427062988281,0.22140701115131378,0.0003,-30.40688133239746,112,55,243.72636877000002,96,50.04,5335
5461,-155.1842803955078,34.7169189453125,0.20799867808818817,0.0003,-30.446640014648438,116,55,251.0834455,100,51.38,5562
5733,-161.35958862304688,35.40810775756836,0.19301636517047882,0.0003,-32.547584533691406,120,55,258.8156441,105,52.92,5834
5992,-162.4666748046875,47.524417877197266,0.17981375753879547,0.0003,-32.5836181640625,124,55,266.28231459999995,110,54.47,6093
6211,-164.99789428710938,46.18376541137695,0.1692802459001541,0.0003,-32.8114013671875,128,55,271.74630228,114,55.43,6312
6422,-169.18429565429688,33.621971130371094,0.15973421931266785,0.0003,-32.82976531982422,132,55,276.30469729000004,118,56.24,6523
6670,-164.74423217773438,31.689722061157227,0.1492375135421753,0.0003,-32.71479034423828,136,55,283.79544580000004,123,57.59,6771
6902,-166.4711151123047,45.9876708984375,0.1401483118534088,0.0003,-35.25154495239258,140,54,289.40947063999994,127,58.59,7003
7151,-166.85012817382812,59.851261138916016,0.13097015023231506,0.0003,-34.37574005126953,144,55,297.23231773,131,60.07,7252
7393,-157.5306396484375,43.367584228515625,0.12276855111122131,0.0003,-32.19812774658203,148,55,303.3081198,136,61.17,7494
7652,-171.424560546875,43.02400207519531,0.11466579139232635,0.0003,-33.77431869506836,152,55,308.5534625,139,62.22,7753
7948,-165.45541381835938,39.5599479675293,0.1059030294418335,0.0003,-34.16192626953125,156,55,317.87023003999997,145,64.1,8049
8269,-172.2708282470703,65.67364501953125,0.09730640798807144,0.0003,-36.69475555419922,160,55,325.94191356000005,151,65.59,8370
8576,-163.10733032226562,56.27715301513672,0.08988180756568909,0.0003,-32.57477569580078,164,55,327.48175176999996,156,66.04,8677
8843,-167.833251953125,38.55010986328125,0.08399277180433273,0.0003,-31.93222427368164,168,55,330.40578389,161,66.51,8944
9108,-171.3730010986328,49.563934326171875,0.07853357493877411,0.0003,-34.07482147216797,172,55,331.65899661,166,66.82,9209
9351,-169.25076293945312,41.732364654541016,0.07389857620000839,0.0003,-33.70641326904297,176,55,331.59250267000004,170,66.86,9452
9612,-159.30487060546875,59.412841796875,0.06929286569356918,0.0003,-31.553878784179688,180,55,325.06614222,175,65.45,9713
9844,-155.28640747070312,55.313697814941406,0.06538549065589905,0.0003,-26.076271057128906,184,55,324.76697431,179,65.41,9945
10112,-167.27767944335938,52.19567108154297,0.06116938963532448,0.0003,-28.468616485595703,188,55,324.96073528,184,65.32,10213
10368,-157.48294067382812,50.994789123535156,0.05753498896956444,0.0003,-26.835208892822266,192,55,322.17026956999996,188,64.64,10469
10681,-162.70738220214844,47.996219635009766,0.053478702902793884,0.0003,-24.330856323242188,196,55,324.70283129,194,65.42,10782
11044,-156.98165893554688,47.602455139160156,0.049177102744579315,0.0003,-20.01388168334961,200,55,324.70534974,201,65.67,11145
11305,-163.60794067382812,47.736839294433594,0.04641705006361008,0.0003,-22.854843139648438,204,55,322.33088598999996,205,65.48,11406
11409,-163.09811401367188,57.80491638183594,0.045334428548812866,0.0003,-28.62479591369629,208,55,314.59280891000003,207,64.08,11510
11643,-162.44700622558594,69.00120544433594,0.04301435500383377,0.0003,-22.475948333740234,212,55,313.29184052000005,211,64.09,11744
11883,-156.3860321044922,85.91522216796875,0.04088317230343819,0.0003,-15.77480697631836,216,55,313.93008717,216,64.22,11984
12143,-163.2183837890625,51.28910827636719,0.03904819115996361,0.0003,-11.400808334350586,220,55,314.01276529999996,220,64.1,12244
12371,-157.41189575195312,55.47499084472656,0.03763921558856964,0.0003,-11.27711296081543,224,55,313.31187511,225,63.79,12472
12627,-155.98104858398438,54.89479064941406,0.03626011684536934,0.0003,-12.987785339355469,228,55,315.07226664,229,64.16,12728
12865,-150.01661682128906,61.002742767333984,0.035057391971349716,0.0003,-9.48980712890625,232,55,316.45663224,233,64.43,12966
13121,-158.09483337402344,46.25682067871094,0.03366741165518761,0.0003,-14.454036712646484,236,55,316.19641735,238,64.51,13222
13442,-151.30233764648438,58.490177154541016,0.03220166638493538,0.0003,-4.816127300262451,240,55,319.50025532,244,65.4,13543
13726,-147.28424072265625,52.805747985839844,0.03121056780219078,0.0003,-4.189463138580322,244,55,320.32451281,249,65.75,13827
14063,-153.6117706298828,46.985260009765625,0.030087372288107872,0.0003,-4.261952877044678,248,55,323.87891537,255,66.7,14164
14394,-158.0360107421875,66.53750610351562,0.02900475077331066,0.0003,-6.536923885345459,252,55,327.08799371000003,261,67.42,14495
14751,-161.909912109375,61.932472229003906,0.02821468934416771,0.0003,-1.2817597389221191,256,55,329.64443782,265,68.03,14852
15099,-158.866943359375,39.474571228027344,0.02804338000714779,0.0003,-0.3860204219818115,260,55,330.00107902,271,68.3,15200
15431,-151.68167114257812,53.592323303222656,0.028194306418299675,0.0003,4.735110759735107,264,55,330.75641533000004,277,68.55,15532
15712,-155.687744140625,43.344146728515625,0.02782132290303707,0.0003,-0.4440087080001831,268,55,329.91661324,282,68.69,15813
16067,-149.48248291015625,48.621253967285156,0.027070799842476845,0.0003,3.48417329788208,272,55,333.83964873,289,69.59,16168
16317,-160.0596923828125,59.27296447753906,0.026570454239845276,0.0003,-2.2540876865386963,276,56,334.56477716,293,69.66,16418
16572,-155.0091552734375,51.405517578125,0.026136519387364388,0.0003,1.217261791229248,280,56,334.00389378,297,69.6,16673
16891,-152.60379028320312,34.93456268310547,0.025648700073361397,0.0003,-2.7677483558654785,284,56,338.74280372999993,301,70.47,16992
17195,-152.22628784179688,45.34130096435547,0.025400063022971153,0.0003,0.5686671733856201,288,56,339.67517301999993,305,70.83,17296
17521,-143.986328125,46.054954528808594,0.02539896033704281,0.0003,-4.674844741821289,292,56,342.74111884999996,309,71.53,17622
17829,-150.23855590820312,36.874046325683594,0.025228848680853844,0.0003,3.0944204330444336,296,56,343.68062602000003,315,71.48,17930
18228,-151.7034912109375,41.596893310546875,0.025365639477968216,0.0003,0.35010501742362976,300,56,345.66348965,322,71.84,18329
18609,-144.58335876464844,63.033302307128906,0.02454160898923874,0.0003,-2.262460947036743,304,56,351.48508099,329,73.04,18710
18965,-141.66583251953125,39.74200439453125,0.02460707724094391,0.0003,-1.2311327457427979,308,56,364.25853019000004,335,75.56,19066
19364,-151.09486389160156,45.09685516357422,0.024529721587896347,0.0003,-1.8178186416625977,312,56,371.34481403999996,342,77.21,19465
19681,-143.33084106445312,38.92448425292969,0.024245433509349823,0.0003,2.1070139408111572,316,56,373.8263244099999,347,77.98,19782
