rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
102.713288,22.0,1642,88,0,4,,,,,,
101.475605375,21.625,145,173,1,8,72,-28.76418113708496,16.165014266967773,0.9783477187156677,0.0003,-0.6206507682800293
96.78923766666666,20.666666666666668,91,248,2,12,147,-33.019039154052734,11.469282150268555,0.9561957120895386,0.0003,-1.2713631391525269
96.3462236875,20.6875,78,331,4,16,230,-36.775177001953125,6.480224609375,0.9324406981468201,0.0003,-1.9814085960388184
95.84375935,20.65,72,413,5,20,312,-39.42943572998047,6.8411970138549805,0.9096962809562683,0.0003,-2.660616874694824
94.45237570833335,20.375,68,489,7,24,388,-42.489383697509766,5.32353401184082,0.8892666101455688,0.0003,-3.2514283657073975
92.75943407142859,20.035714285714285,66,561,8,28,460,-45.46001434326172,7.879385948181152,0.8704779744148254,0.0003,-3.8194777965545654
92.32130565625,20.0,65,640,9,32,539,-50.23112487792969,5.637986183166504,0.8504064083099365,0.0003,-4.45670223236084
92.39413116666668,20.13888888888889,63,725,11,36,624,-53.82164764404297,6.024464130401611,0.8294139504432678,0.0003,-5.070988655090332
93.315269,20.45,62,818,13,40,717,-57.560462951660156,4.819307327270508,0.8071146607398987,0.0003,-5.815639495849609
95.29553659090908,20.90909090909091,62,920,14,44,819,-60.61274719238281,8.478082656860352,0.7833362221717834,0.0003,-6.556276321411133
96.43194293750001,21.208333333333332,61,1018,16,48,917,-64.55657196044922,13.866425514221191,0.7610352635383606,0.0003,-7.395626544952393
103.10592809615386,22.653846153846153,60,1178,19,52,1077,-69.03085327148438,7.318269729614258,0.7259798645973206,0.0003,-8.527461051940918
111.79862385714286,24.464285714285715,60,1370,22,56,1269,-79.0090103149414,11.533397674560547,0.685990571975708,0.0003,-9.975311279296875
124.18825018333334,26.883333333333333,59,1613,27,60,1512,-84.1227035522461,7.881843566894531,0.638675332069397,0.0003,-11.844688415527344
124.56879646875001,26.96875,59,1726,29,64,1625,-86.84608459472656,9.677919387817383,0.6176824569702148,0.0003,-12.899036407470703
128.76002563235292,27.779411764705884,59,1889,31,68,1788,-93.38632202148438,13.991113662719727,0.5888131856918335,0.0003,-13.977136611938477
137.84035008333333,29.77777777777778,58,2144,36,72,2043,-102.21534729003906,9.58397388458252,0.5471492409706116,0.0003,-15.232596397399902
145.13668219736846,31.05263157894737,58,2360,40,76,2259,-110.2514419555664,15.285472869873047,0.5146621465682983,0.0003,-16.45964813232422
154.55934923750002,32.6875,58,2615,44,80,2514,-115.1792221069336,24.61208152770996,0.47935226559638977,0.0003,-17.25397300720215
163.29547092857146,34.23809523809524,58,2876,49,84,2775,-127.93719482421875,11.672807693481445,0.44607529044151306,0.0003,-18.944286346435547
170.14926367045456,35.51136363636363,58,3125,53,88,3024,-131.4722442626953,14.047088623046875,0.41632047295570374,0.0003,-19.866790771484375
169.9840874782609,35.58695652173913,58,3274,56,92,3173,-130.1060791015625,17.781320571899414,0.3993329405784607,0.0003,-20.867919921875
173.496865125,36.520833333333336,59,3506,59,96,3405,-138.47384643554688,16.30303192138672,0.3740215301513672,0.0003,-22.862932205200195
181.14457181,38.02,59,3802,64,100,3701,-141.05189514160156,26.447839736938477,0.3444601595401764,0.0003,-22.898868560791016
188.11169958000002,39.47,58,4035,68,104,3934,-149.263671875,26.499937057495117,0.32301145792007446,0.0003,-23.688434600830078
195.73902732,41.04,58,4277,72,108,4176,-151.65524291992188,29.607261657714844,0.30213940143585205,0.0003,-24.96634292602539
203.72569957999997,42.67,58,4515,76,112,4414,-153.9273681640625,29.09177589416504,0.28295522928237915,0.0003,-24.770977020263672
211.19743359,44.13,58,4744,81,116,4643,-158.943603515625,42.96241760253906,0.2659061849117279,0.0003,-26.385297775268555
220.93494303000003,45.96,58,5009,85,120,4908,-161.35592651367188,22.013731002807617,0.24763600528240204,0.0003,-27.410419464111328
228.0698317,47.49,58,5238,89,124,5137,-163.087890625,66.52021789550781,0.23290753364562988,0.0003,-26.819778442382812
239.29115219999997,49.77,58,5538,94,128,5437,-164.15972900390625,29.618532180786133,0.2150891274213791,0.0003,-27.372312545776367
249.23846688999998,51.65,58,5805,99,132,5704,-169.03854370117188,31.983686447143555,0.20037177205085754,0.0003,-28.128482818603516
257.97200612999995,53.31,58,6056,104,136,5955,-167.98556518554688,27.23601531982422,0.18758104741573334,0.0003,-27.651063919067383
265.5684409500001,54.85,58,6303,108,140,6202,-172.73419189453125,29.226776123046875,0.1760379821062088,0.0003,-25.526824951171875
271.00282131000006,56.06,58,6526,112,144,6425,-166.94293212890625,43.187042236328125,0.1663166731595993,0.0003,-25.74697494506836
277.93216674,57.59,58,6777,116,148,6676,-171.94656372070312,34.39484405517578,0.15606294572353363,0.0003,-28.328527450561523
282.82789254,58.59,58,7037,121,152,6936,-177.11659240722656,35.288726806640625,0.14613626897335052,0.0003,-26.909502029418945
286.27808581,59.43,57,7313,126,156,7212,-176.96583557128906,47.83073043823242,0.13643740117549896,0.0003,-26.751319885253906
289.35186804,60.14,57,7627,131,160,7526,-174.82037353515625,49.0960693359375,0.12618257105350494,0.0003,-26.72670555114746
296.75556622,61.8,57,7906,136,164,7805,-178.84146118164062,51.16816329956055,0.11772970110177994,0.0003,-23.965774536132812
302.08872968,62.87,57,8176,141,168,8075,-177.23741149902344,44.529747009277344,0.11036600917577744,0.0003,-22.368785858154297
300.15615366,62.39,57,8383,145,172,8282,-181.9556427001953,46.388648986816406,0.10506410151720047,0.0003,-22.866168975830078
