rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
102.37115125000001,21.75,1692,87,0,4,,,,,,
110.92678062499999,24.125,119,193,1,8,92,-23.157020568847656,37.5216064453125,0.9710339903831482,0.0003,-0.8043071031570435
105.45444466666667,22.833333333333332,89,274,3,12,173,-28.04937744140625,20.802162170410156,0.9459754824638367,0.0003,-1.5671511888504028
100.498109125,21.9375,78,351,4,16,250,-30.602333068847656,13.459989547729492,0.9232946038246155,0.0003,-2.244804859161377
97.94955315000001,21.35,73,427,5,20,326,-33.479984283447266,25.524822235107422,0.9018493890762329,0.0003,-2.8961691856384277
95.76534083333333,20.875,69,501,7,24,400,-37.142120361328125,18.384374618530273,0.881719708442688,0.0003,-3.512380838394165
92.80414828571428,20.25,67,567,8,28,466,-39.72886657714844,16.733657836914062,0.8643109798431396,0.0003,-4.016424655914307
90.19845846875,19.6875,66,630,9,32,529,-42.65549087524414,20.307132720947266,0.8481494784355164,0.0003,-4.529781341552734
88.57430241666667,19.36111111111111,64,697,10,36,596,-44.80677032470703,36.86998748779297,0.8314130902290344,0.0003,-4.997821807861328
87.52540102500001,19.125,63,765,11,40,664,-48.515140533447266,27.502431869506836,0.8147732615470886,0.0003,-5.524769306182861
86.4199730909091,18.886363636363637,63,831,13,44,730,-49.041709899902344,40.38111877441406,0.7989015579223633,0.0003,-6.101550102233887
85.37218641666665,18.666666666666668,62,896,14,48,795,-51.3968391418457,30.051895141601562,0.7835220098495483,0.0003,-6.583523273468018
84.47725163461536,18.5,61,962,15,52,861,-54.134464263916016,25.233936309814453,0.7681734561920166,0.0003,-7.227829456329346
83.701052125,18.339285714285715,61,1027,16,56,926,-55.40480041503906,33.38623046875,0.7533519268035889,0.0003,-7.731735706329346
83.22126068333333,18.233333333333334,62,1094,17,60,993,-59.10466384887695,26.203948974609375,0.738356351852417,0.0003,-8.32009506225586
83.116027625,18.234375,62,1167,18,64,1066,-60.07182693481445,40.62605285644531,0.7223034501075745,0.0003,-9.011514663696289
82.9280891617647,18.191176470588236,61,1237,20,68,1136,-61.66927719116211,41.96734619140625,0.7072418332099915,0.0003,-9.410581588745117
83.31386494444445,18.26388888888889,61,1315,21,72,1214,-63.444332122802734,47.90531539916992,0.6908906102180481,0.0003,-10.080127716064453
82.88143544736843,18.17105263157895,60,1381,22,76,1280,-64.9417724609375,33.97981643676758,0.6774536371231079,0.0003,-10.42276382446289
82.9121617375,18.175,60,1454,24,80,1353,-68.82470703125,36.58576965332031,0.6629947423934937,0.0003,-10.995718955993652
83.9650484047619,18.392857142857142,59,1545,25,84,1444,-72.31605529785156,42.29749298095703,0.6453666090965271,0.0003,-11.713920593261719
85.15037796590909,18.625,59,1639,27,88,1538,-76.26603698730469,42.92959213256836,0.6276746988296509,0.0003,-12.435604095458984
87.41078279347826,19.054347826086957,59,1753,29,92,1652,-76.97903442382812,40.78070068359375,0.6069490313529968,0.0003,-13.20727252960205
87.98766816666667,19.166666666666668,58,1840,31,96,1739,-79.43756103515625,44.56379318237305,0.5916300415992737,0.0003,-13.727865219116211
88.51581490000001,19.27,58,1927,32,100,1826,-83.12627410888672,31.88039779663086,0.576810896396637,0.0003,-14.377827644348145
89.16613227000002,19.4,58,2027,34,104,1926,-85.26502227783203,53.17420959472656,0.5603272318840027,0.0003,-15.21524715423584
89.84256439999999,19.52,58,2145,36,108,2044,-84.83598327636719,28.066761016845703,0.5415139198303223,0.0003,-15.644428253173828
90.65485608999998,19.69,58,2243,38,112,2142,-87.6462631225586,41.395225524902344,0.5264002084732056,0.0003,-16.257389068603516
91.68983623999999,19.87,58,2338,40,116,2237,-91.69241333007812,19.236265182495117,0.5122185349464417,0.0003,-16.777095794677734
93.22311757999996,20.15,57,2442,42,120,2341,-88.65192413330078,33.98141860961914,0.4973105192184448,0.0003,-17.14907455444336
95.63784686000001,20.62,57,2563,44,124,2462,-90.462890625,33.59772872924805,0.48057252168655396,0.0003,-18.29150390625
98.70070137,21.23,57,2690,46,128,2589,-95.65914916992188,37.59852600097656,0.46362560987472534,0.0003,-18.662063598632812
101.79323519999998,21.9,57,2820,48,132,2719,-97.56369018554688,35.673583984375,0.4470865726470947,0.0003,-19.279659271240234
106.03944424000001,22.74,57,2971,51,136,2870,-100.72464752197266,21.837125778198242,0.4286128282546997,0.0003,-20.176223754882812
112.26240538,24.06,57,3171,55,140,3070,-103.3055648803711,17.494037628173828,0.40541940927505493,0.0003,-20.9642333984375
118.06495593999998,25.3,57,3361,58,144,3260,-108.05767822265625,28.44290542602539,0.3845699429512024,0.0003,-21.587413787841797
124.27274677999999,26.6,57,3556,61,148,3455,-110.4869384765625,37.93376922607422,0.364400178194046,0.0003,-22.52584457397461
133.06007337000003,28.46,57,3808,66,152,3707,-121.17985534667969,22.202877044677734,0.3403482735157013,0.0003,-22.548568725585938
134.75551109,28.9,57,3917,68,156,3816,-111.753662109375,18.525089263916016,0.33050596714019775,0.0003,-23.074552536010742
135.45171922999998,29.08,57,4002,69,160,3901,-114.06566619873047,28.476640701293945,0.3229817748069763,0.0003,-24.28783416748047
138.44506104,29.76,57,4143,72,164,4042,-115.33647918701172,36.391845703125,0.31087493896484375,0.0003,-23.647113800048828
143.63242896000003,31.02,57,4339,75,168,4238,-122.13330841064453,54.75300979614258,0.2948320209980011,0.0003,-25.29964828491211
146.96489594,31.84,57,4499,78,172,4398,-117.46725463867188,85.41659545898438,0.2824430763721466,0.0003,-25.286460876464844
154.2898985,33.42,57,4723,82,176,4622,-122.39218139648438,57.65231704711914,0.26592496037483215,0.0003,-25.344884872436523
160.90134688,34.85,57,4939,86,180,4838,-130.27438354492188,45.0494499206543,0.2509739100933075,0.0003,-26.51956558227539
169.06906762999998,36.59,57,5204,91,184,5103,-127.89488220214844,40.237098693847656,0.2337314933538437,0.0003,-26.80238914489746
176.10965693000003,37.91,56,5430,95,188,5329,-131.83901977539062,41.57382583618164,0.22010555863380432,0.0003,-27.1834716796875
186.17426642,40.13,56,5766,101,192,5665,-134.97300720214844,34.395931243896484,0.20175349712371826,0.0003,-27.183366775512695
195.82993531000002,41.94,56,6034,105,196,5933,-139.49594116210938,30.289796829223633,0.18851572275161743,0.0003,-26.265554428100586
206.42727578000003,44.02,56,6329,111,200,6228,-130.88023376464844,50.227535247802734,0.17536459863185883,0.0003,-24.91196632385254
215.09173115000004,45.67,56,6594,115,204,6493,-146.08218383789062,35.036590576171875,0.1642017662525177,0.0003,-23.588150024414062
223.66650576,47.37,56,6882,120,208,6781,-136.84930419921875,26.02989959716797,0.15291252732276917,0.0003,-24.55667495727539
231.85937351000004,49.03,56,7146,125,212,7045,-145.8626708984375,30.188142776489258,0.14305871725082397,0.0003,-25.331039428710938
241.80983999999998,51.1,56,7448,131,216,7347,-149.01304626464844,47.90464782714844,0.13231916725635529,0.0003,-25.525463104248047
255.15747152,53.99,56,7841,137,220,7740,-141.772216796875,31.71225929260254,0.11967970430850983,0.0003,-23.657421112060547
263.29719826,56.02,56,8165,143,224,8064,-147.16781616210938,44.579193115234375,0.11007460951805115,0.0003,-27.586076736450195
272.40658344999997,58.18,56,8508,149,228,8407,-152.66465759277344,30.216638565063477,0.1008053570985794,0.0003,-23.617908477783203
278.77208454,59.55,56,8775,154,232,8674,-155.29498291015625,43.1653938293457,0.09427438676357269,0.0003,-26.033958435058594
285.85897015000006,61.2,56,9091,160,236,8990,-158.41632080078125,33.61091995239258,0.08715290576219559,0.0003,-23.687881469726562
292.25575169,62.52,56,9423,165,240,9322,-157.40579223632812,33.032135009765625,0.08038624376058578,0.0003,-21.311420440673828
300.70234549,64.23,56,9784,172,244,9683,-153.64913940429688,40.649166107177734,0.07408957928419113,0.0003,-17.58441734313965
301.98675939000003,64.46,56,10002,176,248,9901,-164.96304321289062,52.265647888183594,0.07069113105535507,0.0003,-16.838542938232422
302.05917490999997,64.66,56,10274,181,252,10173,-159.2318115234375,46.40763854980469,0.06670795381069183,0.0003,-17.380590438842773
305.13489742,65.41,56,10458,184,256,10357,-157.68313598632812,50.342018127441406,0.06434417515993118,0.0003,-11.24992847442627
307.68364992,66.08,56,10610,186,260,10509,-162.7965087890625,48.02824783325195,0.06237541884183884,0.0003,-16.24629020690918
309.17809482,66.51,56,10794,190,264,10693,-165.54180908203125,42.33547592163086,0.0600995272397995,0.0003,-14.526798248291016
310.12033366000003,66.67,56,11006,193,268,10905,-164.07839965820312,57.91724395751953,0.05776519328355789,0.0003,-15.241086959838867
312.47040694000003,67.2,56,11219,197,272,11118,-163.806396484375,81.97489929199219,0.055964842438697815,0.0003,-9.638893127441406
312.87244543,67.42,56,11465,201,276,11364,-149.97525024414062,42.665584564208984,0.05384799838066101,0.0003,-9.619712829589844
312.37032609,67.33,56,11672,205,280,11571,-164.22412109375,62.42903137207031,0.05207424238324165,0.0003,-10.738838195800781
307.340431,66.3,56,11834,208,284,11733,-167.90806579589844,45.156002044677734,0.050919126719236374,0.0003,-11.48510456085205
305.6325768,66.24,56,12054,212,288,11953,-166.51303100585938,59.18619155883789,0.049174826592206955,0.0003,-10.948259353637695
297.75810146,64.71,56,12237,215,292,12136,-166.34756469726562,53.7084846496582,0.047925326973199844,0.0003,-7.724210739135742
295.7719544,64.69,57,12503,219,296,12402,-158.27093505859375,50.785335540771484,0.046747032552957535,0.0003,-2.7618234157562256
296.99658116,65.23,57,12852,224,300,12751,-166.36648559570312,69.00486755371094,0.045594025403261185,0.0003,-3.6419756412506104
300.83980086,66.2,57,13214,228,304,13113,-161.7485809326172,64.95265197753906,0.044841278344392776,0.0003,-4.8590617179870605
