rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
103.88955924999999,22.25,1643,89,0,4,,,,,,
96.79511762499999,20.75,142,166,1,8,65,-28.054397583007812,31.65810775756836,0.980492353439331,0.0003,-0.558381199836731
94.79099450000001,20.333333333333332,94,244,2,12,143,-31.574434280395508,41.095497131347656,0.957401692867279,0.0003,-1.238553524017334
97.065212375,20.8125,79,333,4,16,232,-36.13511657714844,34.09825134277344,0.9319496750831604,0.0003,-1.9932693243026733
99.4422524,21.25,73,425,5,20,324,-41.271934509277344,15.744464874267578,0.9066236615180969,0.0003,-2.704028606414795
114.45426808333332,24.75,67,594,8,24,493,-50.08522033691406,6.06049919128418,0.8626835346221924,0.0003,-4.03712272644043
117.99184067857142,25.535714285714285,65,715,10,28,614,-57.190364837646484,8.612138748168945,0.832382082939148,0.0003,-5.021735191345215
129.2697116875,27.8125,63,890,13,32,789,-63.45759201049805,7.3113203048706055,0.7903585433959961,0.0003,-6.396185874938965
141.9811203333333,30.88888888888889,63,1112,17,36,1011,-70.23210144042969,11.092649459838867,0.7403483986854553,0.0003,-8.106256484985352
157.711202425,33.975,64,1359,21,40,1258,-82.48527526855469,11.675048828125,0.6886117458343506,0.0003,-9.85517692565918
164.3215948409091,35.04545454545455,65,1542,23,44,1441,-85.86760711669922,17.975357055664062,0.6530593633651733,0.0003,-11.012825012207031
162.42787735416667,34.520833333333336,64,1657,25,48,1556,-93.05792236328125,12.364276885986328,0.6319748163223267,0.0003,-11.668672561645508
164.70174078846154,35.01923076923077,64,1821,28,52,1720,-99.99734497070312,18.562963485717773,0.6032093167304993,0.0003,-12.549198150634766
170.4725514107143,36.017857142857146,63,2017,31,56,1916,-104.97420501708984,17.000629425048828,0.5708245038986206,0.0003,-13.603336334228516
176.86806523333334,37.166666666666664,62,2230,35,60,2129,-108.71478271484375,21.350200653076172,0.5380866527557373,0.0003,-14.560203552246094
181.8394998125,38.234375,63,2447,38,64,2346,-116.30912017822266,33.27947235107422,0.5071059465408325,0.0003,-15.25477409362793
181.25996939705885,38.19117647058823,63,2597,41,68,2496,-120.0919189453125,35.43598556518555,0.4867137372493744,0.0003,-16.208715438842773
187.106748,39.361111111111114,62,2834,45,72,2733,-129.7152862548828,43.148460388183594,0.4560505747795105,0.0003,-17.456485748291016
194.5585507368421,40.671052631578945,62,3091,49,76,2990,-133.54666137695312,28.282833099365234,0.4249521493911743,0.0003,-18.610061645507812
202.6262702125,42.475,61,3398,55,80,3297,-139.31204223632812,41.64496612548828,0.3906227648258209,0.0003,-19.90960121154785
204.62096939285715,42.94047619047619,61,3607,58,84,3506,-143.95068359375,48.22923278808594,0.3688177764415741,0.0003,-21.034164428710938
206.1754725909091,43.21590909090909,61,3803,62,88,3702,-145.79940795898438,63.20045471191406,0.3498840630054474,0.0003,-20.918325424194336
211.11218254347824,44.15217391304348,60,4062,66,92,3961,-148.56033325195312,59.6843376159668,0.32692646980285645,0.0003,-20.497215270996094
214.63327732291668,44.927083333333336,60,4313,71,96,4212,-158.8273468017578,45.7277717590332,0.30606892704963684,0.0003,-22.29033088684082
218.77773483,45.69,60,4569,75,100,4468,-161.81011962890625,73.60171508789062,0.28613561391830444,0.0003,-22.9898738861084
226.43428574,47.08,59,4797,79,104,4696,-153.65707397460938,53.480247497558594,0.2696729600429535,0.0003,-21.689777374267578
235.67887377,49.03,59,5069,84,108,4968,-160.69253540039062,68.90525817871094,0.2512797713279724,0.0003,-22.307292938232422
245.83196577,51.26,59,5370,90,112,5269,-162.5072021484375,74.37486267089844,0.23228669166564941,0.0003,-22.523923873901367
255.67874625000005,53.23,59,5656,95,116,5555,-160.98019409179688,92.06694793701172,0.21577519178390503,0.0003,-23.657888412475586
262.26485273000003,54.64,59,5889,99,120,5788,-167.02798461914062,70.93426513671875,0.20301203429698944,0.0003,-23.013551712036133
265.94166631999997,55.34,59,6128,103,124,6027,-171.32635498046875,82.91348266601562,0.19084611535072327,0.0003,-24.017881393432617
273.49318803000006,56.8,59,6395,108,128,6294,-163.909912109375,65.6330337524414,0.17828647792339325,0.0003,-23.441673278808594
280.35446597,58.1,58,6700,113,132,6599,-165.7528076171875,65.26443481445312,0.16524310410022736,0.0003,-20.221952438354492
282.46399411000004,58.24,58,6936,117,136,6835,-164.3326416015625,62.6539306640625,0.15604306757450104,0.0003,-21.38406753540039
284.26648844,58.68,58,7227,122,140,7126,-169.68374633789062,77.14595031738281,0.1456552892923355,0.0003,-21.729522705078125
287.66584955,59.35,58,7477,127,144,7376,-172.825439453125,72.06952667236328,0.13700006902217865,0.0003,-22.482097625732422
296.08936830000005,61.06,58,7763,131,148,7662,-168.1721649169922,84.9307861328125,0.12804974615573883,0.0003,-21.749120712280273
304.23366278,62.91,58,8112,137,152,8011,-174.99978637695312,82.549072265625,0.11815987527370453,0.0003,-19.230545043945312
311.53884067,64.53,58,8470,144,156,8369,-167.1890869140625,83.96884155273438,0.10882255434989929,0.0003,-20.8287353515625
315.20416033,65.52,58,8782,149,160,8681,-173.52593994140625,98.45405578613281,0.10198452323675156,0.0003,-16.550987243652344
316.05486563,65.7,58,9017,152,164,8916,-170.26609802246094,89.2385025024414,0.09730225056409836,0.0003,-15.790169715881348
321.86768442,67.01,59,9298,156,168,9197,-165.90956115722656,118.0176773071289,0.09201471507549286,0.0003,-14.807329177856445
325.99505310999996,67.97,59,9631,163,172,9530,-166.07830810546875,106.49494934082031,0.0862308144569397,0.0003,-10.270820617675781
326.10635480999997,68.34,58,9925,168,176,9824,-171.68325805664062,93.02613830566406,0.08183424919843674,0.0003,-11.020524978637695
327.17395109,68.3,58,10228,174,180,10127,-170.68533325195312,76.12722778320312,0.07743506878614426,0.0003,-11.7979097366333
327.84589678,68.3,58,10437,177,184,10336,-177.67953491210938,112.43620300292969,0.07494723051786423,0.0003,-8.863901138305664
332.7533261700001,69.23,58,10726,183,188,10625,-167.523681640625,85.67548370361328,0.07153011858463287,0.0003,-9.796300888061523
329.42265613999996,68.56,58,10918,186,192,10817,-168.11834716796875,107.40374755859375,0.06940779834985733,0.0003,-8.746456146240234
328.80126447999993,68.46,58,11159,189,196,11058,-175.98985290527344,85.19558715820312,0.06723517179489136,0.0003,-6.143840789794922
322.28508646,67.28,58,11297,192,200,11196,-167.0232696533203,125.31997680664062,0.06629308313131332,0.0003,-2.098555088043213
315.0647567,66.08,58,11405,194,204,11304,-171.84637451171875,143.0018310546875,0.0657903403043747,0.0003,-3.939176082611084
310.83853281,65.37,58,11606,197,208,11505,-178.25599670410156,120.75396728515625,0.06486112624406815,0.0003,-6.628265380859375
309.62684077999995,65.01,58,11871,202,212,11770,-165.34658813476562,99.47309875488281,0.06393112242221832,0.0003,2.7168164253234863
307.18732384000003,64.48,58,12104,207,216,12003,-164.9319305419922,126.6719741821289,0.06274362653493881,0.0003,-0.7998045682907104
308.16905102,64.49,58,12338,211,220,12237,-169.8182373046875,97.09036254882812,0.06200018152594566,0.0003,-3.402644634246826
314.21471485,65.71,58,12699,216,224,12598,-164.3748321533203,108.17161560058594,0.0614931620657444,0.0003,-0.8595484495162964
316.57218897,66.17,58,13012,221,228,12911,-168.12205505371094,110.46101379394531,0.061705201864242554,0.0003,-0.9882272481918335
316.34104746,66.06,58,13306,227,232,13205,-168.17327880859375,107.05381774902344,0.06149575114250183,0.0003,-3.0030460357666016
319.3036537,66.59,58,13595,231,236,13494,-160.10977172851562,95.16654968261719,0.06125136464834213,0.0003,-0.9799075126647949
320.47882151,66.64,59,13891,234,240,13790,-160.57229614257812,88.99824523925781,0.06013365462422371,0.0003,2.2376036643981934
323.06730446999995,67.3,59,14207,240,244,14106,-164.0552978515625,83.88490295410156,0.05996070057153702,0.0003,-2.8620834350585938
321.52557805,67.02,59,14465,244,248,14364,-156.20602416992188,88.51885223388672,0.059680089354515076,0.0003,0.13483083248138428
318.14776914000004,66.01,59,14713,249,252,14612,-162.02833557128906,75.68599700927734,0.05842987820506096,0.0003,-2.625734329223633
313.29801566000003,64.82,59,14952,253,256,14851,-160.62527465820312,78.76066589355469,0.05889156460762024,0.0003,-0.2547706663608551
312.4961331100001,64.34,58,15216,258,260,15115,-153.84739685058594,79.87049865722656,0.05808692425489426,0.0003,-0.2632700800895691
