train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
22,-6.244534015655518,261.0370178222656,0.99456787109375,0.0003,-0.12109143286943436,4,307,141.29116199999999,0,30.75,123
142,-24.443376541137695,46.404354095458984,0.9557172060012817,0.0003,-1.2668163776397705,8,89,141.407254625,2,30.375,243
229,-28.84110450744629,46.2661018371582,0.9300617575645447,0.0003,-2.0345611572265625,12,75,128.14641675,4,27.5,330
328,-31.59187126159668,40.255409240722656,0.9023736715316772,0.0003,-2.8256359100341797,16,68,125.2269364375,6,26.8125,429
404,-34.44013977050781,165.09066772460938,0.8820450901985168,0.0003,-3.4206295013427734,20,67,117.5114924,7,25.25,505
491,-38.51141357421875,48.36008834838867,0.8598119020462036,0.0003,-3.8783764839172363,24,65,114.25757054166668,9,24.666666666666668,592
563,-42.13573455810547,61.44565200805664,0.8421745896339417,0.0003,-4.415706157684326,28,66,109.53882135714288,9,23.714285714285715,664
633,-45.33829879760742,59.61307907104492,0.8254150152206421,0.0003,-4.907615661621094,32,66,105.80273634375,11,22.9375,734
697,-47.454185485839844,51.43181610107422,0.8103049397468567,0.0003,-5.392669677734375,36,64,102.08171566666667,12,22.166666666666668,798
763,-50.6575927734375,44.951416015625,0.7949944138526917,0.0003,-5.826117515563965,40,63,99.39277375,13,21.6,864
826,-55.449642181396484,57.43659591674805,0.780561089515686,0.0003,-6.404424667358398,44,62,96.64328775,14,21.068181818181817,927
891,-57.262569427490234,36.72637176513672,0.7658274173736572,0.0003,-6.966233730316162,48,62,94.6116453125,15,20.666666666666668,992
958,-60.08119583129883,44.11995315551758,0.7508454322814941,0.0003,-7.456769943237305,52,63,93.00415478846155,16,20.365384615384617,1059
1024,-60.028526306152344,52.7755012512207,0.7362880110740662,0.0003,-8.006038665771484,56,63,91.45153580357143,17,20.089285714285715,1125
1091,-60.18452453613281,43.168548583984375,0.7218431234359741,0.0003,-8.410364151000977,60,64,90.372906,18,19.866666666666667,1192
1157,-64.14492797851562,89.54788208007812,0.7079877853393555,0.0003,-8.87670612335205,64,65,89.230358078125,19,19.65625,1258
1224,-67.12919616699219,56.875545501708984,0.6941418647766113,0.0003,-9.354972839355469,68,66,88.40515219117646,20,19.485294117647058,1325
1290,-69.79031372070312,71.27218627929688,0.6807589530944824,0.0003,-9.74053955078125,72,66,87.50351947222222,20,19.319444444444443,1391
1355,-71.215576171875,70.52651977539062,0.6679022908210754,0.0003,-10.356809616088867,76,67,86.7546227894737,21,19.157894736842106,1456
1422,-73.50658416748047,71.50440979003906,0.6548567414283752,0.0003,-10.773006439208984,80,68,86.12693845000001,22,19.0375,1523
1491,-72.2927474975586,47.863433837890625,0.641728401184082,0.0003,-11.128068923950195,84,69,85.64381789285716,22,18.952380952380953,1592
1562,-77.14530181884766,44.781097412109375,0.6285526156425476,0.0003,-11.798210144042969,88,69,85.42864142045454,23,18.897727272727273,1663
1640,-75.27391052246094,51.89532470703125,0.614486575126648,0.0003,-12.23623275756836,92,70,85.56497626086956,24,18.92391304347826,1741
1733,-78.2073974609375,54.35929870605469,0.5982533693313599,0.0003,-12.629014015197754,96,71,86.491577125,25,19.104166666666668,1834
1855,-79.4648666381836,56.94990539550781,0.5776723623275757,0.0003,-13.562016487121582,100,70,88.54405997000002,27,19.56,1956
1955,-80.90228271484375,73.0752182006836,0.5612951517105103,0.0003,-14.123785018920898,104,69,87.52656684000002,29,19.33,2056
2073,-82.0327377319336,60.2723388671875,0.542690098285675,0.0003,-14.803589820861816,108,69,87.31168597999998,31,19.31,2174
2174,-86.39774322509766,49.198326110839844,0.5271954536437988,0.0003,-15.552165985107422,112,68,87.86949200999997,33,19.45,2275
2289,-86.25008392333984,68.23088836669922,0.5102055072784424,0.0003,-15.631518363952637,116,67,88.58798990999998,35,19.61,2390
2403,-87.44294738769531,73.60298156738281,0.4939039945602417,0.0003,-16.520763397216797,120,66,90.4048573,37,19.99,2504
2541,-87.17720794677734,79.09513854980469,0.4750756621360779,0.0003,-17.512527465820312,124,66,92.93693857,39,20.5,2642
2654,-95.55743408203125,55.62665557861328,0.4599958658218384,0.0003,-17.900691986083984,128,66,94.8911543,41,20.91,2755
2759,-94.46575927734375,57.35991668701172,0.4464174509048462,0.0003,-18.775779724121094,132,65,96.45937810999997,43,21.26,2860
2890,-90.11318969726562,70.32536315917969,0.4300883412361145,0.0003,-18.926422119140625,136,65,99.54966361999999,45,21.93,2991
3023,-95.97065734863281,105.51077270507812,0.4142473340034485,0.0003,-19.953393936157227,140,64,102.45378013999999,48,22.6,3124
3146,-97.46849060058594,98.310791015625,0.4003511965274811,0.0003,-20.04379653930664,144,64,105.11812066000002,50,23.2,3247
3262,-96.41688537597656,96.8237533569336,0.3877798020839691,0.0003,-20.445270538330078,148,63,107.40345649000002,52,23.71,3363
3375,-102.55149841308594,70.91876220703125,0.3758705258369446,0.0003,-20.798948287963867,152,63,109.62835721999998,54,24.17,3476
3493,-98.858642578125,92.53010559082031,0.3636782169342041,0.0003,-22.0313720703125,156,63,112.03309989000002,57,24.69,3594
3602,-103.60574340820312,114.34784698486328,0.3527921140193939,0.0003,-22.078311920166016,160,62,114.08058302000003,59,25.11,3703
3704,-103.35350036621094,61.959075927734375,0.34290823340415955,0.0003,-22.304733276367188,164,62,115.87470453,61,25.47,3805
3797,-100.95147705078125,96.98802185058594,0.3343413174152374,0.0003,-22.527481079101562,168,62,117.02556878,62,25.73,3898
3891,-108.876708984375,77.1364517211914,0.32597240805625916,0.0003,-22.31387710571289,172,61,118.22234039000001,64,26.01,3992
4020,-103.34172058105469,56.061805725097656,0.3149692118167877,0.0003,-22.06209945678711,176,61,121.31369084000002,67,26.65,4121
4129,-109.42283630371094,92.65341186523438,0.30593979358673096,0.0003,-23.924936294555664,180,61,123.09299546999999,69,27.07,4230
4379,-113.44547271728516,85.20157623291016,0.28660231828689575,0.0003,-22.218664169311523,184,61,130.87551704,73,28.88,4480
4606,-113.45492553710938,78.85090637207031,0.27058178186416626,0.0003,-22.675249099731445,188,60,137.60026742000002,77,30.44,4707
4865,-112.93560791015625,73.36656188964844,0.253555029630661,0.0003,-21.939538955688477,192,60,145.09485234,81,32.25,4966
5067,-112.10427856445312,88.11723327636719,0.240827277302742,0.0003,-23.149608612060547,196,60,149.70154232000002,84,33.34,5168
5392,-116.4283447265625,91.90943908691406,0.22141355276107788,0.0003,-24.42961311340332,200,60,158.99736004,90,35.37,5493
5630,-123.63313293457031,74.82151794433594,0.20817169547080994,0.0003,-24.318540573120117,204,60,165.09703653,94,36.75,5731
5899,-120.09354400634766,91.00453186035156,0.19414709508419037,0.0003,-22.880943298339844,208,60,171.23237554,99,38.26,6000
6133,-120.6285400390625,90.80235290527344,0.1830727756023407,0.0003,-23.4390926361084,212,60,177.37984659000003,103,39.59,6234
6312,-127.2236557006836,312.796630859375,0.17507535219192505,0.0003,-23.545413970947266,216,60,180.34036215,106,40.23,6413
6462,-124.04722595214844,174.54501342773438,0.16856902837753296,0.0003,-24.526763916015625,220,60,182.11423616,109,40.59,6563
6593,-126.80078125,191.68214416503906,0.1630636602640152,0.0003,-22.929960250854492,224,60,181.62185536,111,40.52,6694
6738,-122.64823913574219,77.80569458007812,0.15724004805088043,0.0003,-23.30542755126953,228,60,183.32591650000003,113,40.84,6839
6879,-124.25519561767578,122.44462585449219,0.15197467803955078,0.0003,-21.989761352539062,232,60,185.22643304000005,116,41.2,6980
7014,-122.02127075195312,120.07681274414062,0.1470516473054886,0.0003,-21.473278045654297,236,60,185.56375980999997,118,41.24,7115
7148,-123.55858612060547,99.86396789550781,0.14236213266849518,0.0003,-21.667001724243164,240,59,185.81766267999998,120,41.25,7249
7301,-120.78137969970703,158.82266235351562,0.13720910251140594,0.0003,-20.813505172729492,244,60,187.72493477000003,123,41.55,7402
7444,-125.19816589355469,112.26280212402344,0.1325235664844513,0.0003,-21.686405181884766,248,59,189.4298236,126,41.82,7545
7607,-128.6420440673828,114.90074157714844,0.12748172879219055,0.0003,-20.558124542236328,252,59,192.21690567,128,42.32,7708
7767,-123.17827606201172,107.3620376586914,0.1227492094039917,0.0003,-22.257131576538086,256,59,194.71291933,131,42.74,7868
7897,-125.56490325927734,109.48480224609375,0.11904093623161316,0.0003,-18.635284423828125,260,59,195.94188074000004,134,42.95,7998
8084,-127.36243438720703,93.28865814208984,0.11388664692640305,0.0003,-21.5281982421875,264,59,200.73881441,137,43.8,8185
8279,-126.32535552978516,108.09259033203125,0.10871338099241257,0.0003,-21.25252342224121,268,59,206.51496205,140,44.82,8380
8536,-119.12136840820312,160.2718048095703,0.10237210988998413,0.0003,-17.3007755279541,272,59,214.74099962999998,145,46.45,8637
8876,-127.15071105957031,103.52013397216797,0.09468211233615875,0.0003,-17.45235252380371,276,59,224.8026904,149,48.56,8977
9140,-121.89388275146484,81.6573486328125,0.0895371064543724,0.0003,-14.631196022033691,280,60,233.16325418999998,153,50.11,9241
9414,-125.28199768066406,115.4173355102539,0.08468136191368103,0.0003,-15.90791130065918,284,59,235.74085309999998,158,50.35,9515
9668,-126.43956756591797,64.66896057128906,0.08068341761827469,0.0003,-7.113949775695801,288,59,237.93223262000004,162,50.62,9769
9962,-124.36429595947266,82.71818542480469,0.07639499008655548,0.0003,-15.28040599822998,292,60,240.26199070999996,167,50.97,10063
10226,-128.33901977539062,91.46846008300781,0.07295815646648407,0.0003,-9.421479225158691,296,60,243.32759706000004,171,51.59,10327
10503,-126.45790100097656,77.73464965820312,0.06992195546627045,0.0003,-7.098628997802734,300,60,241.51456108000002,175,51.11,10604
