train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
18,-11.935999870300293,246.28224182128906,0.9949109554290771,0.0003,-0.14551465213298798,4,361,139.31671475,0,29.75,119
99,-25.537952423095703,33.200889587402344,0.9710942506790161,0.0003,-0.8128226399421692,8,102,116.2451905,1,25.0,200
166,-27.151432037353516,23.665306091308594,0.9521416425704956,0.0003,-1.3629287481307983,12,81,102.92429358333334,3,22.25,267
240,-30.0411434173584,7.569913864135742,0.9314428567886353,0.0003,-1.9680596590042114,16,71,98.09892518749999,4,21.3125,341
319,-32.76636505126953,18.380414962768555,0.9097204208374023,0.0003,-2.6452088356018066,20,65,96.45973839999999,6,21.0,420
413,-36.691619873046875,21.486526489257812,0.8843313455581665,0.0003,-3.4223082065582275,24,62,98.67931233333333,8,21.416666666666668,514
497,-40.061279296875,21.164377212524414,0.8622750043869019,0.0003,-4.1717529296875,28,60,98.67637753571428,9,21.357142857142858,598
580,-42.598243713378906,37.803260803222656,0.8411144614219666,0.0003,-4.775843620300293,32,59,98.36257953124999,11,21.28125,681
662,-46.84919357299805,35.71430206298828,0.8208701014518738,0.0003,-5.428523063659668,36,58,98.0050218611111,13,21.194444444444443,763
744,-50.22041320800781,45.1004524230957,0.8013402223587036,0.0003,-5.973299980163574,40,57,97.511380075,14,21.125,845
843,-53.79293441772461,36.74636459350586,0.7788337469100952,0.0003,-6.446260452270508,44,56,99.12121675000002,16,21.454545454545453,944
919,-58.15657043457031,19.05881118774414,0.7623621821403503,0.0003,-6.991034030914307,48,55,98.19485033333332,18,21.25,1020
1056,-64.24597930908203,29.75218963623047,0.7337742447853088,0.0003,-7.537466049194336,52,56,102.55025801923077,20,22.25,1157
1170,-70.53829956054688,38.635032653808594,0.711262047290802,0.0003,-8.144416809082031,56,55,104.996757625,22,22.696428571428573,1271
1278,-73.68569946289062,45.982261657714844,0.6907755732536316,0.0003,-8.684087753295898,60,55,106.41741018333333,24,22.983333333333334,1379
1350,-76.85916137695312,31.685626983642578,0.6775298118591309,0.0003,-8.652948379516602,64,54,104.8992254375,26,22.671875,1451
1459,-85.70646667480469,35.99951934814453,0.65819251537323,0.0003,-9.5474853515625,68,54,106.0354161617647,28,22.941176470588236,1560
1550,-87.22425079345703,56.057762145996094,0.6427814364433289,0.0003,-9.553401947021484,72,54,105.84585675,30,22.930555555555557,1651
1670,-93.27752685546875,63.98822784423828,0.623554527759552,0.0003,-9.704289436340332,76,54,107.4143962631579,32,23.30263157894737,1771
1762,-98.546630859375,60.16060256958008,0.6090644598007202,0.0003,-10.027305603027344,80,54,107.39341946250002,34,23.2875,1863
1873,-103.40621185302734,165.24472045898438,0.592163622379303,0.0003,-10.061494827270508,84,54,108.67821026190478,36,23.5,1974
1989,-106.48394775390625,67.91647338867188,0.5753918290138245,0.0003,-10.445014953613281,88,54,109.97802517045456,38,23.75,2090
2124,-114.84464263916016,101.60194396972656,0.5559241771697998,0.0003,-11.395387649536133,92,54,112.18059636956522,40,24.184782608695652,2225
2239,-120.32124328613281,102.06857299804688,0.5400019884109497,0.0003,-10.973564147949219,96,54,112.69995702083334,42,24.375,2340
2339,-123.6019287109375,103.1002197265625,0.5266380310058594,0.0003,-11.536038398742676,100,54,112.82704674,44,24.4,2440
2430,-127.0888671875,136.83750915527344,0.5143434405326843,0.0003,-12.291942596435547,104,55,111.36080138000003,45,24.12,2531
2503,-128.18856811523438,120.55192565917969,0.5048204064369202,0.0003,-14.052488327026367,108,55,110.84835614000002,47,24.04,2604
2579,-133.14927673339844,133.17872619628906,0.49465686082839966,0.0003,-12.092855453491211,112,54,111.23989886,48,24.13,2680
2650,-132.52432250976562,231.6505584716797,0.4856887757778168,0.0003,-12.667732238769531,116,54,111.02548244000002,50,24.1,2751
2719,-133.857421875,227.9469451904297,0.4772425889968872,0.0003,-12.673455238342285,120,54,110.48538400000001,51,24.0,2820
2788,-137.8348388671875,157.88409423828125,0.4690249264240265,0.0003,-12.801392555236816,124,54,109.21234834,52,23.75,2889
2852,-138.9284210205078,276.7525634765625,0.46143391728401184,0.0003,-13.699731826782227,128,54,108.16210217000001,54,23.55,2953
2925,-143.4217529296875,101.55297088623047,0.45278337597846985,0.0003,-13.475675582885742,132,54,107.47722987000002,55,23.45,3026
2993,-141.0794677734375,417.08575439453125,0.444950133562088,0.0003,-14.434772491455078,136,54,106.69697178999999,56,23.31,3094
3070,-144.31631469726562,194.5636444091797,0.4363638460636139,0.0003,-11.615911483764648,140,54,106.39242191999998,58,23.26,3171
3143,-147.18649291992188,198.19618225097656,0.4292045533657074,0.0003,-11.37332534790039,144,54,104.96534670000001,59,23.0,3244
3243,-153.10279846191406,199.60797119140625,0.41916337609291077,0.0003,-14.218114852905273,148,54,105.60315053000002,61,23.24,3344
3335,-155.79617309570312,220.12454223632812,0.41011884808540344,0.0003,-13.199468612670898,152,54,103.21640851000002,63,22.79,3436
3446,-158.87359619140625,299.2738037109375,0.3996315002441406,0.0003,-12.045495986938477,156,53,102.41434646000002,65,22.76,3547
3692,-171.55441284179688,343.9225769042969,0.3810752034187317,0.0003,-10.142955780029297,160,54,108.61619342999998,70,24.14,3793
3766,-176.9951171875,197.60821533203125,0.37687429785728455,0.0003,-8.802316665649414,164,53,108.63255621999998,71,24.16,3867
3834,-174.92324829101562,203.08181762695312,0.372294157743454,0.0003,-10.203775405883789,168,53,106.69704091000001,72,23.75,3935
3922,-182.084716796875,216.26123046875,0.3655787706375122,0.0003,-10.732397079467773,172,54,106.59827155999997,74,23.72,4023
4034,-184.92474365234375,544.4365844726562,0.3560870885848999,0.0003,-11.76390266418457,176,54,106.33054398999997,76,23.64,4135
4191,-190.2045135498047,310.05169677734375,0.34603750705718994,0.0003,-8.694942474365234,180,54,109.29459174,79,24.29,4292
4289,-197.92855834960938,453.05072021484375,0.34105873107910156,0.0003,-9.25967025756836,184,54,108.20784459000002,81,24.16,4390
4399,-198.98541259765625,753.5531005859375,0.33454978466033936,0.0003,-8.464767456054688,188,54,107.83699498,83,24.1,4500
4500,-205.21173095703125,301.16094970703125,0.329500675201416,0.0003,-8.371002197265625,192,54,106.14177315,84,23.76,4601
4582,-207.82118225097656,711.345458984375,0.32533490657806396,0.0003,-5.710982799530029,196,54,104.85527027999998,86,23.43,4683
4669,-211.4749298095703,576.6353759765625,0.3208501636981964,0.0003,-9.500890731811523,200,54,104.11074679000001,88,23.3,4770
4756,-215.83599853515625,553.9910888671875,0.31645554304122925,0.0003,-5.193044662475586,204,53,104.03237327000001,90,23.26,4857
4848,-213.74655151367188,572.714111328125,0.3117552697658539,0.0003,-8.163691520690918,208,53,105.05149213999998,91,23.45,4949
4962,-221.42703247070312,155.8851318359375,0.30659833550453186,0.0003,-8.561295509338379,212,53,107.02942754,93,23.83,5063
