rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
107.79743825,22.75,1648,91,0,4,,,,,,
111.55551625000001,24.125,124,193,1,8,92,-28.9946346282959,30.41489028930664,0.9720939993858337,0.0003,-0.8032800555229187
116.68529091666669,25.416666666666668,85,305,3,12,204,-33.31764602661133,54.221435546875,0.9393953680992126,0.0003,-1.7701056003570557
118.2659685,25.75,72,412,5,16,311,-38.142452239990234,51.11908721923828,0.9096410870552063,0.0003,-2.61777925491333
116.22720375000002,25.45,69,509,7,20,408,-43.20551300048828,40.97369384765625,0.884206235408783,0.0003,-3.273909568786621
117.63896154166667,25.75,64,618,9,24,517,-50.81657028198242,34.76708221435547,0.8577054142951965,0.0003,-3.758601427078247
116.62353092857144,25.535714285714285,62,715,11,28,614,-57.31114959716797,40.23657989501953,0.8361190557479858,0.0003,-4.0003814697265625
113.39853128125,24.9375,61,798,13,32,697,-64.33589172363281,32.74808883666992,0.8189071416854858,0.0003,-4.347801685333252
109.94684725,24.22222222222222,60,872,14,36,771,-64.23777770996094,37.52558135986328,0.8034735321998596,0.0003,-5.0406599044799805
107.13703702500001,23.625,59,945,15,40,844,-69.14484405517578,33.38564682006836,0.787300705909729,0.0003,-5.695761680603027
105.69693865909093,23.454545454545453,58,1032,17,44,931,-72.47968292236328,29.78047752380371,0.7676807045936584,0.0003,-6.484809875488281
103.92535237499999,23.104166666666668,58,1109,19,48,1008,-73.13753509521484,39.00041580200195,0.7507725358009338,0.0003,-6.864315986633301
106.92956351923075,23.76923076923077,58,1236,21,52,1135,-76.14176177978516,72.36538696289062,0.7238588333129883,0.0003,-7.59928035736084
109.42292051785715,24.321428571428573,57,1362,23,56,1261,-84.24650573730469,35.72665786743164,0.6982683539390564,0.0003,-8.22321891784668
115.6778635,25.483333333333334,57,1529,26,60,1428,-88.41412353515625,42.172752380371094,0.6668106317520142,0.0003,-9.029882431030273
116.588640796875,25.609375,57,1639,28,64,1538,-92.40826416015625,56.82295227050781,0.6471744775772095,0.0003,-9.131889343261719
116.0975527647059,25.470588235294116,57,1732,30,68,1631,-92.8558349609375,63.78960037231445,0.6310802102088928,0.0003,-9.93057918548584
118.95862368055558,26.09722222222222,57,1879,32,72,1778,-94.55007934570312,78.11611938476562,0.6065376996994019,0.0003,-10.120922088623047
121.53664535526318,26.57894736842105,56,2020,35,76,1919,-102.35935974121094,89.19186401367188,0.5840027332305908,0.0003,-10.985074996948242
123.06636778749998,26.8875,56,2151,37,80,2050,-103.57974243164062,99.91371154785156,0.5639597773551941,0.0003,-11.344988822937012
125.56705110714285,27.285714285714285,56,2292,40,84,2191,-108.58727264404297,108.07951354980469,0.5435636639595032,0.0003,-10.34605598449707
130.25713934090908,28.15909090909091,56,2478,44,88,2377,-111.3985595703125,90.52936553955078,0.5188469290733337,0.0003,-11.150629043579102
129.47366829347823,27.967391304347824,55,2573,45,92,2472,-111.95831298828125,95.8521957397461,0.5067965388298035,0.0003,-11.603464126586914
128.77023946875,27.791666666666668,55,2668,47,96,2567,-118.07504272460938,98.69231414794922,0.4949118494987488,0.0003,-12.311573028564453
131.10833713999997,28.29,55,2829,51,100,2728,-115.64028930664062,104.13737487792969,0.4751204550266266,0.0003,-12.678079605102539
133.46462961,28.83,55,2974,53,104,2873,-118.9415283203125,101.29649353027344,0.4577902853488922,0.0003,-12.817366600036621
135.33042805,29.21,55,3114,56,108,3013,-120.4921646118164,115.4515380859375,0.44183722138404846,0.0003,-13.512168884277344
138.51294527,29.89,55,3294,59,112,3193,-123.29151916503906,150.2221221923828,0.4223105311393738,0.0003,-12.137519836425781
138.7264151,29.93,55,3405,61,116,3304,-122.859619140625,144.62203979492188,0.41052040457725525,0.0003,-14.168766021728516
141.08807421,30.4,56,3549,63,120,3448,-118.39171600341797,188.29302978515625,0.3954925537109375,0.0003,-14.615324974060059
141.76548291,30.53,56,3671,64,124,3570,-124.53834533691406,161.0105438232422,0.38317805528640747,0.0003,-14.606398582458496
142.36552652,30.68,56,3783,66,128,3682,-125.99642181396484,160.2003631591797,0.37236639857292175,0.0003,-15.039388656616211
145.98337940999997,31.46,57,3944,68,132,3843,-127.51549530029297,197.53451538085938,0.35692211985588074,0.0003,-16.09126091003418
150.41390451,32.47,57,4119,71,136,4018,-127.45620727539062,241.62506103515625,0.3409779965877533,0.0003,-14.313384056091309
156.45891153,33.86,58,4331,73,140,4230,-125.18904876708984,214.594482421875,0.323358416557312,0.0003,-16.821922302246094
159.56669252,34.51,59,4483,75,144,4382,-129.61520385742188,152.94754028320312,0.3111882507801056,0.0003,-14.601892471313477
166.80864393,36.09,60,4718,78,148,4617,-127.75440979003906,176.24134826660156,0.29326751828193665,0.0003,-15.613311767578125
171.80743889000001,37.25,60,4961,82,152,4860,-127.5019302368164,190.30520629882812,0.27593228220939636,0.0003,-16.712081909179688
174.39964662999998,37.7,60,5132,85,156,5031,-129.61065673828125,202.794189453125,0.2644190788269043,0.0003,-16.806095123291016
171.80777458000003,37.2,60,5249,86,160,5148,-131.79916381835938,239.24911499023438,0.25687649846076965,0.0003,-15.457813262939453
171.69878000999998,37.24,60,5363,88,164,5262,-129.22280883789062,237.33230590820312,0.24981816112995148,0.0003,-15.179967880249023
172.37558319999997,37.4,60,5472,90,168,5371,-122.04714965820312,211.33291625976562,0.24338959157466888,0.0003,-16.381807327270508
170.84744144,37.09,60,5588,92,172,5487,-130.02232360839844,289.2679748535156,0.23684382438659668,0.0003,-14.77241325378418
170.49902558000005,37.11,60,5731,94,176,5630,-125.8342056274414,240.66534423828125,0.22913719713687897,0.0003,-12.131104469299316
173.1554593,37.77,60,5928,97,180,5827,-134.33013916015625,211.4072265625,0.21907734870910645,0.0003,-14.928593635559082
174.95678766999998,38.31,60,6123,100,184,6022,-128.96885681152344,259.25653076171875,0.20960262417793274,0.0003,-14.299494743347168
175.10392222000002,38.44,60,6322,103,188,6221,-125.54786682128906,249.35671997070312,0.2003258317708969,0.0003,-13.811209678649902
179.68566975,39.41,61,6514,106,192,6413,-128.04379272460938,194.5234375,0.19205470383167267,0.0003,-12.713769912719727
186.71433412999994,40.84,61,6752,109,196,6651,-130.40338134765625,191.6115264892578,0.18206192553043365,0.0003,-13.041385650634766
189.37505975000005,41.43,61,6972,113,200,6871,-129.43338012695312,204.9428253173828,0.1736474484205246,0.0003,-12.818331718444824
189.89933765,41.48,61,7122,116,204,7021,-128.42355346679688,209.5438232421875,0.16841313242912292,0.0003,-9.84206771850586
195.50059082000004,42.54,61,7368,120,208,7267,-121.98612976074219,250.60101318359375,0.16063660383224487,0.0003,-10.098686218261719
196.03812509,42.67,60,7561,124,212,7460,-125.04362487792969,222.49118041992188,0.15550965070724487,0.0003,-6.691267967224121
198.55803526,43.25,60,7730,127,216,7629,-124.8172607421875,209.16522216796875,0.15112364292144775,0.0003,-6.279873371124268
202.78468547000003,44.01,60,7950,131,220,7849,-126.71134948730469,224.85997009277344,0.14585062861442566,0.0003,-6.562161445617676
206.34901338000003,44.73,60,8144,134,224,8043,-122.50397491455078,260.52001953125,0.14147751033306122,0.0003,-6.604043960571289
208.71741402999996,45.18,60,8301,137,228,8200,-125.63548278808594,263.0519104003906,0.13775749504566193,0.0003,-6.10913610458374
207.19649707999997,44.81,60,8425,139,232,8324,-124.5112533569336,256.4136962890625,0.13497412204742432,0.0003,-4.923802375793457
206.90530859000003,44.67,60,8586,141,236,8485,-121.98611450195312,263.47845458984375,0.1314355731010437,0.0003,-6.292690753936768
205.31722346000004,44.25,60,8756,144,240,8655,-119.62907409667969,214.0126953125,0.128090500831604,0.0003,-4.104208946228027
206.45140422000003,44.52,60,8935,147,244,8834,-120.13449096679688,185.10824584960938,0.1257694959640503,0.0003,-3.1587462425231934
203.91598034000003,44.04,60,9122,151,248,9021,-122.40000915527344,265.48486328125,0.12321732938289642,0.0003,-3.8598849773406982
204.06648818999997,43.91,60,9352,155,252,9251,-118.85396575927734,249.66542053222656,0.12070078402757645,0.0003,-2.8320322036743164
203.68387560000002,43.83,60,9515,157,256,9414,-125.97474670410156,219.31631469726562,0.11839350312948227,0.0003,-2.1359670162200928
206.08385327,44.24,60,9673,160,260,9572,-118.22845458984375,236.15386962890625,0.11613424867391586,0.0003,-2.5940027236938477
208.59633702,44.71,60,9834,163,264,9733,-118.03295135498047,208.6759490966797,0.11402975767850876,0.0003,-1.4464225769042969
210.77586421,45.17,60,9989,166,268,9888,-119.1121597290039,174.11618041992188,0.11253484338521957,0.0003,-2.9097700119018555
217.82617352999998,46.61,60,10249,170,272,10148,-120.0825424194336,211.80691528320312,0.11092190444469452,0.0003,-3.207335948944092
220.72223304999997,47.14,59,10445,174,276,10344,-120.48728942871094,206.2352294921875,0.10954179614782333,0.0003,2.115352153778076
219.59309111000002,46.77,59,10605,177,280,10504,-122.67837524414062,200.17355346679688,0.1088581308722496,0.0003,-1.3367520570755005
221.62632420000003,47.13,59,10836,181,284,10735,-121.90898132324219,210.95938110351562,0.10833319276571274,0.0003,3.7732033729553223
223.60298381000004,47.51,59,11073,185,288,10972,-116.29248809814453,168.56466674804688,0.108253613114357,0.0003,-0.04844784736633301
225.08946663999996,47.81,59,11295,188,292,11194,-118.71774291992188,175.56341552734375,0.10758525133132935,0.0003,-0.7475622892379761
222.25903971000008,47.28,59,11480,192,296,11379,-117.11991882324219,246.6881103515625,0.10771381109952927,0.0003,-3.255605936050415
223.24588866000002,47.39,59,11711,195,300,11610,-119.77404022216797,221.02713012695312,0.10588112473487854,0.0003,-1.461151361465454
222.856287,47.34,59,11856,198,304,11755,-115.23192596435547,207.08155822753906,0.10499582439661026,0.0003,-0.5106419920921326
215.28014645999997,45.93,59,11961,200,308,11860,-115.26814270019531,190.36529541015625,0.10485640913248062,0.0003,1.3808012008666992
216.60094607999997,46.2,59,12181,203,312,12080,-114.16829681396484,304.5195617675781,0.10598871111869812,0.0003,-0.8370066285133362
218.03779631,46.35,59,12365,207,316,12264,-113.14441680908203,204.7200469970703,0.10453527420759201,0.0003,-1.3470203876495361
214.10381071,45.66,59,12516,210,320,12415,-116.57044982910156,216.10317993164062,0.10294137895107269,0.0003,-3.6719555854797363
215.65369753,46.0,59,12744,214,324,12643,-110.84844970703125,193.00604248046875,0.10354480147361755,0.0003,-0.08463656902313232
218.05602600999998,46.51,59,12952,217,328,12851,-112.04927062988281,196.528076171875,0.10316243022680283,0.0003,2.3638434410095215
219.49278444000004,46.76,59,13101,220,332,13000,-107.73046112060547,263.53839111328125,0.10303259640932083,0.0003,-0.6685929894447327
219.16269267999996,46.73,59,13259,223,336,13158,-110.6208724975586,183.11029052734375,0.10259830206632614,0.0003,1.392474889755249
221.92965504999995,47.25,59,13481,226,340,13380,-111.927490234375,147.15985107421875,0.10279817134141922,0.0003,-0.06734424829483032
221.98837556,47.21,59,13656,230,344,13555,-111.38948059082031,173.21200561523438,0.1016642153263092,0.0003,-1.5493303537368774
221.22623424000005,46.93,59,13815,233,348,13714,-107.66251373291016,202.03135681152344,0.10012161731719971,0.0003,-1.2115947008132935
217.16420429,46.05,59,13957,235,352,13856,-110.65150451660156,169.32763671875,0.1007930338382721,0.0003,0.010412484407424927
220.04497083,46.57,59,14172,239,356,14071,-105.37675476074219,231.4613037109375,0.10088327527046204,0.0003,-1.7362949848175049
222.19130222999996,47.13,59,14386,243,360,14285,-106.464111328125,151.26266479492188,0.09868935495615005,0.0003,-2.994666337966919
222.51717665,47.12,59,14546,246,364,14445,-101.65392303466797,206.0568084716797,0.09682806581258774,0.0003,1.1305841207504272
227.11690706000002,47.99,59,14788,250,368,14687,-108.69285583496094,155.5700225830078,0.09470191597938538,0.0003,-2.079775094985962
223.57925515,47.22,58,14971,253,372,14870,-104.4598159790039,168.45755004882812,0.09476515650749207,0.0003,-0.9139293432235718
227.78519133999998,48.04,58,15249,258,376,15148,-107.78535461425781,172.43722534179688,0.09300807863473892,0.0003,-2.048996925354004
231.36582476999996,48.72,58,15477,262,380,15376,-104.16757202148438,154.3662872314453,0.09283483028411865,0.0003,0.8704184293746948
