rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
90.17422149999999,19.25,1684,77,0,4,,,,,,
101.287246875,21.625,141,173,1,8,72,-28.871313095092773,17.74839210510254,0.9782801270484924,0.0003,-0.6207486391067505
103.39603749999999,22.25,86,267,3,12,166,-33.479469299316406,8.027151107788086,0.950579822063446,0.0003,-1.4382705688476562
106.203799125,22.625,74,362,4,16,261,-37.009437561035156,6.883191108703613,0.9236508011817932,0.0003,-2.2481801509857178
108.61789274999998,23.2,67,464,6,20,363,-41.44435119628906,7.752231121063232,0.8957631587982178,0.0003,-3.1032555103302
112.08792612500001,24.291666666666668,65,583,8,24,482,-45.09925842285156,9.42728042602539,0.8643999695777893,0.0003,-4.05015754699707
122.51331928571429,26.5,64,742,11,28,641,-55.05126953125,6.02541446685791,0.8245651125907898,0.0003,-5.313558578491211
121.71834259375001,26.53125,63,849,13,32,748,-57.74589538574219,7.912581443786621,0.7989543080329895,0.0003,-6.117762565612793
121.804759,26.72222222222222,62,962,15,36,861,-63.10493469238281,6.405802249908447,0.772794783115387,0.0003,-7.023273468017578
123.714540675,27.2,61,1088,17,40,987,-68.32862091064453,7.285455703735352,0.7444947361946106,0.0003,-8.06132698059082
123.82468327272727,27.136363636363637,61,1194,19,44,1093,-73.53172302246094,6.249360084533691,0.7214351296424866,0.0003,-8.933639526367188
122.14818970833333,26.729166666666668,62,1283,20,48,1182,-78.56784057617188,8.029909133911133,0.7026578187942505,0.0003,-9.686408996582031
126.59160407692308,27.576923076923077,64,1434,22,52,1333,-80.47064208984375,7.76229190826416,0.6719990372657776,0.0003,-10.736509323120117
126.370136375,27.482142857142858,64,1539,23,56,1438,-83.44194030761719,10.424756050109863,0.6515451669692993,0.0003,-11.53353500366211
124.45747971666667,27.05,63,1623,25,60,1522,-85.92070007324219,12.943925857543945,0.6356367468833923,0.0003,-12.219100952148438
128.32459004687502,27.734375,62,1775,28,64,1674,-92.86357116699219,13.710010528564453,0.6077104806900024,0.0003,-13.248970031738281
128.6980821176471,27.794117647058822,61,1890,30,68,1789,-95.68830871582031,10.560813903808594,0.5874608159065247,0.0003,-14.302813529968262
131.59449181944444,28.430555555555557,60,2047,34,72,1946,-99.69036102294922,7.753405570983887,0.5609683990478516,0.0003,-15.310762405395508
137.42764338157895,29.56578947368421,59,2247,37,76,2146,-103.89221954345703,13.995738983154297,0.5293684601783752,0.0003,-16.5469970703125
143.4630481875,30.7875,59,2463,41,80,2362,-111.52848815917969,10.829792976379395,0.4978558421134949,0.0003,-17.46678924560547
151.61892874999998,32.476190476190474,59,2728,46,84,2627,-115.11113739013672,13.639472961425781,0.4621753692626953,0.0003,-18.64508056640625
160.7890494090909,34.375,58,3025,51,88,2924,-117.46177673339844,10.938248634338379,0.42552390694618225,0.0003,-20.032848358154297
172.6704538804348,36.82608695652174,58,3388,57,92,3287,-131.943603515625,18.383691787719727,0.3846176862716675,0.0003,-21.385940551757812
179.920074375,38.125,58,3660,62,96,3559,-131.6220703125,12.930578231811523,0.35670679807662964,0.0003,-22.744159698486328
189.02272571,39.9,58,3990,68,100,3889,-138.87054443359375,14.034250259399414,0.3254173696041107,0.0003,-24.449848175048828
203.76515409,42.79,58,4356,74,104,4255,-142.36941528320312,15.48910140991211,0.29395604133605957,0.0003,-25.09343719482422
216.11418412999996,45.24,58,4697,80,108,4596,-152.57186889648438,15.570454597473145,0.2675619423389435,0.0003,-27.575857162475586
223.01902529,46.47,57,4914,84,112,4813,-153.362060546875,19.459033966064453,0.25202327966690063,0.0003,-27.955698013305664
231.59767823,48.2,57,5182,89,116,5081,-161.0799560546875,20.965225219726562,0.2341645359992981,0.0003,-29.29786491394043
240.19747666,49.87,58,5451,93,120,5350,-161.572998046875,23.146774291992188,0.21756182610988617,0.0003,-28.896102905273438
249.89585985999997,51.67,57,5750,99,124,5649,-168.61233520507812,24.790142059326172,0.2005159556865692,0.0003,-29.882415771484375
257.53004297000007,53.04,57,6046,104,128,5945,-166.79649353027344,24.548078536987305,0.1851121485233307,0.0003,-30.00240707397461
265.63680709000005,54.83,57,6332,109,132,6231,-165.38796997070312,35.279510498046875,0.17151996493339539,0.0003,-29.54396629333496
276.5444185,57.15,57,6677,115,136,6576,-168.3077850341797,34.679039001464844,0.15654990077018738,0.0003,-29.5284423828125
288.13112865000005,59.46,57,7034,122,140,6933,-166.88446044921875,32.439125061035156,0.1427253782749176,0.0003,-28.869922637939453
296.70416813,61.08,57,7302,126,144,7201,-168.64744567871094,29.920875549316406,0.1333497315645218,0.0003,-29.29271697998047
307.00315827000003,63.24,57,7607,132,148,7506,-171.74575805664062,43.694087982177734,0.12345513701438904,0.0003,-27.952255249023438
313.68455792,64.53,57,7887,136,152,7786,-169.2181854248047,41.23558044433594,0.11513397842645645,0.0003,-26.849233627319336
323.98190005,66.61,57,8200,142,156,8099,-166.82752990722656,43.921730041503906,0.10645900666713715,0.0003,-30.795202255249023
331.90855208999994,68.15,57,8438,147,160,8337,-169.17263793945312,41.80903625488281,0.10034171491861343,0.0003,-27.198566436767578
