train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
20,-4.230044364929199,270.86968994140625,0.9961104393005371,0.0003,-0.08814138174057007,4,325,147.05916,0,30.25,121
103,-27.134397506713867,16.94723129272461,0.9688014984130859,0.0003,-0.8971778750419617,8,99,121.73132112500001,2,25.5,204
200,-30.324481964111328,14.648028373718262,0.9395532608032227,0.0003,-1.7521010637283325,12,74,118.77337625,4,25.083333333333332,301
299,-34.20586395263672,17.392772674560547,0.9112131595611572,0.0003,-2.63592529296875,16,67,118.8158308125,5,25.0,400
381,-37.050880432128906,18.31658935546875,0.8886698484420776,0.0003,-3.286606550216675,20,63,113.89147064999997,7,24.1,482
449,-40.2208251953125,18.74051284790039,0.870546281337738,0.0003,-3.8724565505981445,24,61,107.76250049999999,8,22.916666666666668,550
516,-43.077789306640625,13.855155944824219,0.8531387448310852,0.0003,-4.414575099945068,28,59,103.20413360714285,10,22.035714285714285,617
586,-45.52940368652344,21.805870056152344,0.8354220390319824,0.0003,-4.95197868347168,32,59,100.36453909375,11,21.46875,687
654,-48.07772445678711,21.70619773864746,0.8186219930648804,0.0003,-5.498379707336426,36,58,97.82390516666665,12,20.97222222222222,755
725,-50.63546371459961,24.60306167602539,0.8014398813247681,0.0003,-6.087306499481201,40,57,96.08153064999999,14,20.65,826
808,-54.200069427490234,16.971485137939453,0.781796395778656,0.0003,-6.744308948516846,44,57,95.91344063636362,15,20.65909090909091,909
896,-58.57433319091797,11.043695449829102,0.761555016040802,0.0003,-7.396825790405273,48,56,96.6034734375,17,20.770833333333332,997
968,-61.650657653808594,23.996261596679688,0.7453944087028503,0.0003,-8.023311614990234,52,56,95.53251275000001,18,20.557692307692307,1069
1055,-64.75749206542969,18.330766677856445,0.7263004183769226,0.0003,-8.71354866027832,56,55,95.86833357142856,20,20.642857142857142,1156
1134,-63.08182144165039,20.25390625,0.7094187140464783,0.0003,-9.306910514831543,60,55,95.55847954999999,22,20.583333333333332,1235
1207,-68.61962127685547,17.59033203125,0.6942480206489563,0.0003,-9.895902633666992,64,55,94.91942215625,23,20.4375,1308
1278,-69.42295837402344,26.562904357910156,0.6798660159111023,0.0003,-10.41097640991211,68,54,94.09319664705882,25,20.279411764705884,1379
1379,-77.27334594726562,16.931171417236328,0.6599574685096741,0.0003,-11.132469177246094,72,54,95.08717625,27,20.555555555555557,1480
1520,-78.33265686035156,13.714200973510742,0.6331304907798767,0.0003,-12.163379669189453,76,53,99.08892217105263,30,21.32894736842105,1621
1709,-83.40794372558594,18.753658294677734,0.5990901589393616,0.0003,-13.041875839233398,80,53,105.45074843749998,34,22.625,1810
1919,-90.9632797241211,12.644145965576172,0.5636734962463379,0.0003,-14.928439140319824,84,53,112.93420723809524,37,24.047619047619047,2020
2216,-99.2260971069336,15.594308853149414,0.5172268152236938,0.0003,-16.587718963623047,88,53,124.40937657954545,42,26.329545454545453,2317
2434,-102.3486099243164,26.269729614257812,0.4858638644218445,0.0003,-18.017379760742188,92,53,130.97791363043476,47,27.554347826086957,2535
2690,-115.50296020507812,19.04909896850586,0.45191141963005066,0.0003,-18.929302215576172,96,54,139.2523445,51,29.072916666666668,2791
