train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
13,-13.521841049194336,195.5261993408203,0.9964025616645813,0.0003,-0.10302014648914337,4,446,134.33608425,0,28.5,114
109,-29.02732276916504,9.962656021118164,0.9680774211883545,0.0003,-0.924805760383606,8,101,123.63356537499999,2,26.25,210
213,-32.67180633544922,8.079219818115234,0.938395619392395,0.0003,-1.809916377067566,12,81,121.47007166666667,3,26.166666666666668,314
321,-37.371673583984375,15.240739822387695,0.9086834788322449,0.0003,-2.683271884918213,16,72,122.8558300625,5,26.375,422
437,-42.04347229003906,23.257427215576172,0.8780031204223633,0.0003,-3.6467831134796143,20,67,125.2603257,7,26.9,538
552,-47.197505950927734,22.204612731933594,0.8485121726989746,0.0003,-4.601851463317871,24,69,127.10999554166669,9,27.208333333333332,653
679,-53.28947448730469,20.2783203125,0.8171113729476929,0.0003,-5.580367088317871,28,71,130.11554853571428,10,27.857142857142858,780
797,-57.80238342285156,22.373165130615234,0.7891461849212646,0.0003,-6.53516960144043,32,73,131.42014578125,12,28.0625,898
944,-64.10812377929688,24.181358337402344,0.7560290694236755,0.0003,-7.514915466308594,36,73,135.8367854166667,14,29.02777777777778,1045
1127,-72.00440979003906,14.548430442810059,0.7173267006874084,0.0003,-8.685449600219727,40,74,144.81792142499998,16,30.7,1228
1329,-82.06037902832031,13.773600578308105,0.6774458885192871,0.0003,-9.875946044921875,44,72,153.738144,19,32.5,1430
1484,-85.83116149902344,17.870943069458008,0.6483832597732544,0.0003,-10.662618637084961,48,69,156.73827166666666,22,33.020833333333336,1585
1686,-93.68645477294922,26.421016693115234,0.6123661994934082,0.0003,-12.347373962402344,52,67,164.07418792307692,26,34.36538461538461,1787
1894,-100.55870056152344,14.17607593536377,0.5773184895515442,0.0003,-13.403629302978516,56,66,169.25359825,30,35.625,1995
2084,-109.80657196044922,15.964873313903809,0.546974241733551,0.0003,-14.869935989379883,60,65,172.86065111666665,33,36.416666666666664,2185
2283,-111.81816101074219,40.39936828613281,0.5168085098266602,0.0003,-15.720293045043945,64,64,177.103186046875,37,37.25,2384
2479,-117.26112365722656,23.368600845336914,0.48894089460372925,0.0003,-16.528566360473633,68,63,180.33018886764708,40,37.94117647058823,2580
2705,-124.50725555419922,10.67553997039795,0.45862752199172974,0.0003,-18.318195343017578,72,62,185.61042084722223,44,38.97222222222222,2806
2951,-132.59359741210938,10.934927940368652,0.4277770221233368,0.0003,-20.17644500732422,76,62,190.99249701315793,48,40.1578947368421,3052
3258,-134.21607971191406,13.998327255249023,0.3923390507698059,0.0003,-20.49335479736328,80,61,200.7330688125,54,41.9875,3359
3517,-143.38848876953125,16.215656280517578,0.3648712933063507,0.0003,-22.68741226196289,84,61,206.76629558333332,58,43.07142857142857,3618
3824,-146.3039093017578,24.11798667907715,0.3348524272441864,0.0003,-23.21868133544922,88,61,214.52860272727273,64,44.60227272727273,3925
4090,-156.30743408203125,12.51774787902832,0.3108944892883301,0.0003,-25.355979919433594,92,61,218.95973991304345,68,45.55434782608695,4191
4335,-159.25503540039062,23.683147430419922,0.2904271185398102,0.0003,-26.71969985961914,96,60,221.10061483333334,72,46.208333333333336,4436
4600,-163.599853515625,16.836936950683594,0.2699705958366394,0.0003,-26.62236213684082,100,60,225.64251026000002,77,47.01,4701
4901,-172.5463409423828,15.619760513305664,0.24864256381988525,0.0003,-27.792652130126953,104,60,235.62254784999996,82,48.88,5002
5150,-173.90591430664062,18.383777618408203,0.23235701024532318,0.0003,-28.0419864654541,108,60,243.45668505999998,86,50.41,5251
5397,-180.82310485839844,20.17715072631836,0.2173885703086853,0.0003,-29.624671936035156,112,60,251.17212730999995,91,51.84,5498
5647,-177.50631713867188,24.226682662963867,0.20331673324108124,0.0003,-27.649608612060547,116,61,258.81509465999994,94,53.26,5748
5885,-181.7855224609375,21.34779930114746,0.1908864974975586,0.0003,-28.329952239990234,120,60,265.76908406,98,54.48,5986
6143,-179.76040649414062,21.542673110961914,0.178452268242836,0.0003,-27.62053871154785,124,60,273.64442686,103,55.91,6244
6372,-181.12631225585938,17.88039779663086,0.16831226646900177,0.0003,-26.69797134399414,128,60,279.58665733,107,56.93,6473
6603,-190.54734802246094,21.560571670532227,0.15861649811267853,0.0003,-28.77301788330078,132,60,285.80908214999994,111,58.06,6704
6820,-191.45327758789062,21.498004913330078,0.15012142062187195,0.0003,-26.518997192382812,136,60,289.9587497,115,58.76,6921
7031,-194.80703735351562,22.6051025390625,0.14242050051689148,0.0003,-28.84029769897461,140,59,291.48771409,118,59.04,7132
7253,-196.9600830078125,23.9744873046875,0.1349119246006012,0.0003,-26.994983673095703,144,59,293.18805096000006,122,59.24,7354
7477,-193.17478942871094,17.985340118408203,0.12780801951885223,0.0003,-21.63924789428711,148,59,296.93715746000004,126,59.93,7578
7680,-203.87713623046875,26.792593002319336,0.12185949832201004,0.0003,-24.75556755065918,152,60,297.15640788,129,59.94,7781
7891,-200.13421630859375,22.86180877685547,0.11606515944004059,0.0003,-22.827728271484375,156,60,298.66164096,133,59.97,7992
8103,-203.88438415527344,19.20267105102539,0.11049412935972214,0.0003,-22.58072280883789,160,60,300.5380977,136,60.19,8204
8350,-208.47732543945312,29.617578506469727,0.10455770790576935,0.0003,-23.005210876464844,164,59,303.81657121,141,60.67,8451
8585,-207.35292053222656,25.022552490234375,0.09944016486406326,0.0003,-17.00542449951172,168,59,306.86633102,145,61.06,8686
8827,-210.92681884765625,35.86248016357422,0.09466994553804398,0.0003,-18.413372039794922,172,59,308.36899414,149,61.22,8928
9139,-215.57205200195312,22.80399513244629,0.08908168971538544,0.0003,-16.888914108276367,176,60,312.15017670000003,153,61.88,9240
9344,-202.93804931640625,29.70916748046875,0.08581055700778961,0.0003,-8.163694381713867,180,59,307.2007668,157,60.86,9445
9604,-215.01870727539062,29.737125396728516,0.08183906972408295,0.0003,-15.152294158935547,184,59,306.48443427999996,162,60.87,9705
9939,-217.5157928466797,33.19934844970703,0.07743458449840546,0.0003,-9.986540794372559,188,59,306.68970825,168,61.15,10040
10313,-224.20518493652344,33.874298095703125,0.07296410948038101,0.0003,-13.669448852539062,192,59,311.0324632,174,62.23,10414
10742,-223.681884765625,29.62352180480957,0.06843598932027817,0.0003,-5.828911304473877,196,59,320.93586656,182,64.07,10843
