train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
9,-13.827779769897461,92.77006530761719,0.9975820183753967,0.0003,-0.06309469044208527,4,670,128.23962675,0,27.5,110
100,-29.9187068939209,32.71623611450195,0.9697385430335999,0.0003,-0.8715744018554688,8,107,117.8973455,1,25.125,201
207,-35.29935836791992,25.25147247314453,0.9385970830917358,0.0003,-1.797116994857788,12,76,119.49211183333334,4,25.666666666666668,308
305,-39.56929397583008,24.993974685668945,0.9113014936447144,0.0003,-2.5727200508117676,16,67,118.5687466875,6,25.375,406
382,-43.95705795288086,15.82571029663086,0.8910115957260132,0.0003,-3.035080671310425,20,63,112.35828744999999,7,24.15,483
454,-47.54014205932617,12.113985061645508,0.8730339407920837,0.0003,-3.463693141937256,24,61,107.43103383333334,9,23.125,555
560,-53.508304595947266,8.764110565185547,0.8471401929855347,0.0003,-4.304348468780518,28,59,108.84790671428573,11,23.607142857142858,661
677,-58.793846130371094,11.084101676940918,0.8186888098716736,0.0003,-5.298958778381348,32,58,112.48631,13,24.3125,778
847,-63.789703369140625,8.664100646972656,0.7780835628509521,0.0003,-6.814411163330078,36,56,121.22484627777779,16,26.333333333333332,948
1002,-68.65249633789062,10.0068359375,0.742547869682312,0.0003,-8.126047134399414,40,55,128.05541787500002,19,27.575,1103
1185,-78.17098236083984,12.96187686920166,0.7032620906829834,0.0003,-9.323307037353516,44,57,136.46908581818187,22,29.227272727272727,1286
1317,-81.46870422363281,18.417724609375,0.676751434803009,0.0003,-10.068754196166992,48,57,138.82684125,24,29.541666666666668,1418
1434,-84.96450805664062,16.061325073242188,0.6540666818618774,0.0003,-10.915373802185059,52,57,139.088216,26,29.51923076923077,1535
1530,-85.97000122070312,24.76782989501953,0.6361066699028015,0.0003,-11.49675464630127,56,57,137.13160396428572,28,29.125,1631
1632,-92.20299530029297,22.538475036621094,0.6176701188087463,0.0003,-12.230770111083984,60,56,135.45904793333335,30,28.883333333333333,1733
1809,-98.75407409667969,28.110998153686523,0.5870486497879028,0.0003,-13.233927726745605,64,56,140.26469876562498,33,29.84375,1910
2005,-105.84171295166016,20.749271392822266,0.5553808808326721,0.0003,-14.34516716003418,68,56,146.00670663235292,37,30.970588235294116,2106
2152,-104.20011901855469,42.73966979980469,0.5331112146377563,0.0003,-14.852659225463867,72,56,147.16282156944445,40,31.291666666666668,2253
2288,-108.06929779052734,40.807376861572266,0.51356440782547,0.0003,-15.625038146972656,76,56,147.4188008026316,42,31.43421052631579,2389
2414,-112.9456787109375,39.1268310546875,0.4961926341056824,0.0003,-15.856588363647461,80,56,146.99821926250002,44,31.4375,2515
2555,-118.75184631347656,41.687950134277344,0.47756409645080566,0.0003,-16.345617294311523,84,55,147.48389202380955,47,31.61904761904762,2656
2714,-118.03694915771484,56.93073272705078,0.45729830861091614,0.0003,-17.514272689819336,88,55,148.90109088636365,50,31.988636363636363,2815
2860,-121.96368408203125,51.80052947998047,0.4392906725406647,0.0003,-17.829145431518555,92,55,149.9738632173913,52,32.18478260869565,2961
3008,-122.49641418457031,61.322479248046875,0.42182624340057373,0.0003,-18.255260467529297,96,56,150.63683973958334,55,32.385416666666664,3109
