train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps
3,-11.389284133911133,250.19471740722656,0.99940025806427,0.0003,-0.017014045268297195,4,1027,119.84789175,0,26.0,104
93,-17.166454315185547,99.48797607421875,0.9727385640144348,0.0003,-0.7894155979156494,8,105,113.05963162500001,1,24.25,194
171,-25.45482635498047,17.312210083007812,0.9510881900787354,0.0003,-1.3810499906539917,12,90,104.47164516666668,3,22.666666666666668,272
242,-28.278827667236328,15.781658172607422,0.9312348961830139,0.0003,-1.9771020412445068,16,80,98.659892875,4,21.4375,343
325,-31.455202102661133,24.811988830566406,0.9083325862884521,0.0003,-2.668682098388672,20,83,98.054077,5,21.3,426
401,-34.51278305053711,21.071170806884766,0.8879721760749817,0.0003,-3.2766666412353516,24,85,96.45715466666667,5,20.916666666666668,502
481,-37.78411865234375,32.535701751708984,0.8671424388885498,0.0003,-3.892714500427246,28,82,95.85622717857142,7,20.785714285714285,582
557,-40.56328582763672,48.05939483642578,0.8479834794998169,0.0003,-4.417707443237305,32,80,94.79099146875001,8,20.5625,658
627,-43.771934509277344,49.41957092285156,0.8307327032089233,0.0003,-4.9625244140625,36,79,93.06180544444446,9,20.22222222222222,728
701,-47.55524826049805,71.30308532714844,0.8130064010620117,0.0003,-5.362712860107422,40,79,92.11829865,10,20.05,802
765,-49.70435333251953,119.80717468261719,0.7992616891860962,0.0003,-5.167728900909424,44,78,90.35361531818181,10,19.681818181818183,866
846,-52.710670471191406,71.8565444946289,0.7823213338851929,0.0003,-5.7687177658081055,48,78,90.5916321875,12,19.729166666666668,947
918,-56.764644622802734,76.44520568847656,0.7677706480026245,0.0003,-5.629239559173584,52,77,89.89131834615385,13,19.596153846153847,1019
978,-58.48118209838867,128.3300018310547,0.7569683194160461,0.0003,-5.768444538116455,56,76,88.19809742857142,14,19.267857142857142,1079
1043,-61.753807067871094,153.27716064453125,0.7443657517433167,0.0003,-6.763046741485596,60,74,87.15749583333333,15,19.066666666666666,1144
1202,-72.96052551269531,171.68804931640625,0.7173433899879456,0.0003,-6.208573341369629,64,72,93.43675303124999,18,20.359375,1303
1264,-74.62808227539062,152.19403076171875,0.7072862386703491,0.0003,-5.583658218383789,68,70,92.00950697058822,19,20.073529411764707,1365
1325,-72.21298217773438,139.45358276367188,0.6979706287384033,0.0003,-6.903753280639648,72,70,90.60030963888887,20,19.805555555555557,1426
1392,-74.49952697753906,222.24371337890625,0.6856029033660889,0.0003,-8.196847915649414,76,68,89.72047618421051,21,19.644736842105264,1493
1471,-84.90786743164062,296.77191162109375,0.671769380569458,0.0003,-4.904385566711426,80,68,89.86234875,23,19.65,1572
1580,-94.2968521118164,318.56732177734375,0.6584574580192566,0.0003,-5.718836784362793,84,67,91.60031830952381,24,20.011904761904763,1681
1635,-95.77349853515625,247.58636474609375,0.6524564623832703,0.0003,-4.096650123596191,88,66,90.10203813636363,26,19.727272727272727,1736
1688,-93.19963073730469,399.30145263671875,0.6470786929130554,0.0003,-4.8021240234375,92,65,88.67990535869565,27,19.445652173913043,1789
1742,-97.20231628417969,317.4492492675781,0.6404111981391907,0.0003,-6.313305377960205,96,65,87.44281662499999,28,19.197916666666668,1843
1810,-106.21492767333984,363.52001953125,0.6325413584709167,0.0003,-3.85451602935791,100,64,86.70325842,29,19.11,1911
1919,-107.46833801269531,304.10552978515625,0.6216368675231934,0.0003,-3.980278253555298,104,64,86.95677429999999,31,19.16,2020
